Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	2017	18753	10060	1279	495	2900	445	1117	5016	2367
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	2334	4218	5172	1189	835	4846	504	4868	2084	2462
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	1303	3456	2939	1076	684	1343	177	3775	1613	3121
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	1769	3928	4175	977	730	2980	293	3939	1897	1479
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	931	188	302	790	1165	1934	419	901	240	1261
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	926	188	281	703	993	1487	368	861	228	1164
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	1096	14640	8583	1188	1006	610	364	1151	3324	509
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	460	846	732	185	10	504	0	841	341	683
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	808	1584	1604	420	212	948	137	1812	741	1308
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	937	213	281	698	1101	1623	361	915	232	1271
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	579	290	249	890	929	1339	504	896	167	2317
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	2046	4222	5628	2405	1640	3693	1008	2324	1968	731
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	938	3904	5528	847	1095	1574	425	838	2776	665
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1129	1678	1763	2241	3666	1787	1333	603	1210	824
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	1619	5429	3479	3403	1995	1742	686	1914	1108	2497
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	1968	2186	1007	1194	1405	3632	715	2103	1100	749
