Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	1650	17871	10329	1129	325	1921	432	5477	1032	1916	2367
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	2110	3921	5073	1050	116	4227	535	2327	4592	1903	2658
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	1163	3306	2870	920	727	1044	199	1742	3684	839	2993
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	1566	3713	4087	843	341	2465	304	2066	3707	1510	1565
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	803	171	275	701	930	1530	403	255	807	1014	1242
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	809	181	253	617	844	1120	352	234	784	879	1126
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	892	14002	8831	1029	933	486	361	3602	1048	846	441
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	406	807	722	154	17	284	0	370	817	352	673
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	729	1507	1569	355	180	679	143	804	1755	567	1286
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	795	208	250	612	959	1174	339	231	827	1015	1222
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	431	293	223	792	970	803	497	168	881	910	2192
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	1621	4078	5481	2118	1312	2373	983	2059	2043	2837	760
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	686	3825	5251	734	1040	781	394	2899	718	1664	598
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	813	1742	1606	1968	3521	1021	1274	1145	375	2186	583
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	1381	5214	3562	3005	1943	1275	717	1189	1811	1429	2346
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	1710	2046	997	1046	881	2831	687	1189	1847	1969	856
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	1090	912	1394	2396	1950	1101	456	418	1301	994	487
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	1171	6988	6731	3424	2001	2284	1085	2338	2970	1719	607
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	445	1904	2749	1122	1237	1441	535	554	1270	1015	567
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	693	2654	694	1183	770	738	121	933	1300	743	245
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	1525	3035	3544	1223	1099	1129	369	1176	1072	1919	241
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	708	567	338	1241	707	742	270	199	668	423	140
