Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	17867	10022	1312	1053	2925	585	5221	522	1041	1375	516	2010
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	3943	4884	1594	993	3908	590	2279	676	4496	1017	1956	2176
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	3310	2778	976	908	1372	690	1704	171	3608	647	489	2834
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	3735	3940	1196	812	2479	603	2034	383	3644	983	1086	1272
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	160	259	644	670	1173	955	243	363	772	888	872	1132
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	175	239	667	591	938	836	224	307	757	798	623	1044
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	13957	8640	798	1001	789	939	3477	339	1037	912	172	410
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	818	693	321	147	533	44	353	0	804	230	61	598
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1523	1509	575	345	970	233	783	156	1728	363	228	1161
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	188	245	654	588	899	912	226	289	787	977	721	1146
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	323	193	309	766	1114	946	141	426	873	740	281	2048
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	4063	5337	1191	2034	2256	1405	2096	983	1995	2593	1175	537
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	3838	5092	481	705	909	962	2964	380	703	1656	374	526
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1800	1525	595	1931	967	3396	1174	1030	411	2367	470	568
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	5186	3494	1162	2914	1303	1881	1138	578	1768	1491	708	2249
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	2107	894	1274	989	2828	1226	1100	709	1844	1443	1122	523
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	891	1374	930	2336	577	1899	450	320	1268	1185	767	502
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	6951	6583	923	3337	1564	2113	2349	979	2899	1806	1307	507
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	1853	2713	345	1096	734	1211	594	473	1206	1078	1001	535
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	2625	682	596	1154	466	759	886	79	1259	820	522	226
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	3016	3467	1210	1169	1222	1076	1198	358	1053	1846	570	147
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	542	341	627	1203	357	716	196	213	640	507	525	136
LP2000346-DNA_A01_vs_SM-4JPUU__pv	555	961	632	1883	686	3880	205	940	3142	1087	3203	892
LP2000350-DNA_A01_vs_SM-4JPUU__pv	726	644	1036	2349	794	3324	118	532	2628	1545	504	797
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	4191	2539	977	1171	2109	756	4042	104	1467	1399	670	306
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	8519	11148	498	1032	2509	640	12953	221	1641	1783	1123	349
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	4151	2819	1085	1165	2218	698	4295	197	1492	1520	844	444
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	5296	2691	1262	1170	2862	651	4440	246	1601	1575	1033	448
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	4043	2837	897	1291	2037	680	4634	237	1457	1502	676	377
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1140	1077	595	1914	654	3543	87	925	2936	1002	3002	919
LP2000367-DNA_A01_vs_SM-4JPUU__pv	487	1037	531	1973	568	3740	139	989	3035	1151	3335	971
LP2000368-DNA_A01_vs_SM-4JPUU__pv	518	989	542	1663	711	3319	149	808	2797	1053	2776	861
LP2000369-DNA_A01_vs_SM-4JPUU__pv	480	846	561	1628	581	3195	127	668	2682	934	2556	806
LP2000370-DNA_A01_vs_SM-4JPUU__pv	515	1074	571	2081	807	4060	161	1036	3258	1081	3508	960
LP2000371-DNA_A01_vs_SM-4JPUU__pv	674	726	1105	2337	766	3375	115	465	2633	1498	550	790
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	5016	2568	1250	1129	3340	746	4692	148	1844	1582	1044	539
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	3144	2372	693	1266	1301	539	3597	291	1063	1011	561	271
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	8298	3173	1295	1972	2068	1624	3062	488	2961	1509	1362	493
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	787	288	1736	2172	5641	1588	295	423	1680	3796	1521	1778
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	391	637	524	904	256	575	66	93	260	1055	297	153
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	2986	2076	2449	3482	7504	2648	865	1280	7854	2543	3343	1080
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	129	717	1431	1083	1741	2145	559	630	529	2085	1263	1526
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	928	0	2140	16547	1303	1338	2780	18880	1362	2545	0	0
