Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	17886	10076	999	2343	1076	407	4980	747	764	931	1724	2131	385
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	3997	4830	1005	3661	1012	441	2178	1040	478	4334	1700	2300	1536
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	3312	2791	739	1105	842	644	1628	251	512	3526	899	2853	385
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	3767	3921	825	2262	799	471	1934	603	603	3520	1287	1329	846
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	156	262	470	1270	622	689	253	441	962	721	464	1143	678
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	172	242	523	1008	548	621	228	362	858	714	403	1045	475
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	14065	8586	707	703	957	687	3261	335	951	963	728	430	98
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	821	688	267	427	150	48	339	6	111	780	302	608	55
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1536	1507	418	891	329	181	745	243	286	1670	434	1185	149
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	185	253	519	1066	526	628	228	349	1118	735	336	1140	549
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	320	189	189	937	705	726	157	480	800	830	526	2078	223
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	4166	5274	948	2494	1919	747	1936	1160	2646	1836	1095	548	896
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	3862	5138	433	961	646	608	2778	415	1564	640	738	519	288
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1798	1570	507	1181	1738	2508	1141	959	3037	324	645	520	306
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	5268	3441	922	1524	2748	1303	1067	613	2090	1660	527	2245	464
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	2064	989	827	3225	936	634	1104	1027	1729	1671	544	591	718
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	942	1350	750	1010	2190	1350	416	299	1861	1191	169	460	511
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	7083	6509	660	2020	3136	1307	2174	1045	2630	2724	542	514	974
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	1937	2626	255	906	1001	827	530	476	1353	1140	437	526	825
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	2580	742	498	540	1071	528	865	102	995	1198	335	199	421
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	3089	3400	1094	1217	1110	717	1094	411	1722	970	908	126	474
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	546	349	512	599	1141	480	187	221	836	597	32	119	384
LP2000346-DNA_A01_vs_SM-4JPUU__pv	548	901	453	870	1650	3189	233	722	2063	3067	667	841	2862
LP2000350-DNA_A01_vs_SM-4JPUU__pv	756	614	862	891	2143	2594	130	432	2397	2517	540	742	379
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	3993	2828	705	1818	1153	546	3925	297	963	1380	1228	344	551
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	8065	11955	189	2371	1049	406	12408	450	1029	1560	1548	444	942
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	3949	3121	791	2027	1148	471	4162	410	1076	1400	1213	484	676
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	5065	3006	904	2412	1179	482	4327	512	879	1500	1626	514	869
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	3816	3177	638	1814	1264	455	4484	431	1086	1369	1168	413	553
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1151	1000	420	849	1694	2902	114	729	1923	2864	614	872	2662
LP2000367-DNA_A01_vs_SM-4JPUU__pv	487	960	388	719	1735	3080	161	754	2068	2970	720	912	3002
LP2000368-DNA_A01_vs_SM-4JPUU__pv	526	926	373	924	1457	2686	170	645	1903	2722	586	818	2450
LP2000369-DNA_A01_vs_SM-4JPUU__pv	483	790	403	768	1431	2599	148	501	1776	2614	524	762	2265
LP2000370-DNA_A01_vs_SM-4JPUU__pv	513	997	377	966	1840	3343	193	811	2082	3183	754	914	3139
LP2000371-DNA_A01_vs_SM-4JPUU__pv	707	689	926	846	2135	2664	126	353	2333	2529	564	734	428
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	4760	2912	826	2789	1149	560	4585	470	812	1729	1815	626	865
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	2976	2624	516	1124	1241	411	3474	388	725	1011	847	291	481
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	8190	3333	928	2113	1859	1173	2988	647	1647	2811	1075	501	1040
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	767	209	1224	4583	2160	1067	353	945	2364	1513	3332	1888	1300
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	417	595	529	212	850	404	41	73	997	238	456	115	284
