NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1596.946	9.097	246.705	7.935	0.016	0.989	130000.0
2	1595.249	9.119	247.127	7.982	0.016	0.989	80000.0
3	1611.247	9.183	249.763	8.003	0.016	0.989	120000.0
4	1607.814	9.157	249.931	8.012	0.016	0.989	70000.0
5	1601.121	9.134	248.033	7.973	0.016	0.989	90000.0
6	1598.375	9.099	247.726	7.954	0.015	0.989	90000.0
7	1598.674	9.103	247.536	7.937	0.015	0.989	50000.0
8	1602.116	9.187	248.421	8.031	0.016	0.988	70000.0
9	1598.127	9.135	247.163	7.973	0.016	0.989	70000.0
10	1601.785	9.137	248.187	8.002	0.016	0.988	60000.0
11	1604.094	9.186	248.23	8.018	0.016	0.988	110000.0
12	1601.468	9.097	248.534	7.956	0.015	0.989	100000.0
13	1596.544	9.091	247.253	7.96	0.015	0.989	90000.0
14	1604.168	9.181	247.957	8.002	0.016	0.988	100000.0
15	1602.946	9.181	247.916	8.03	0.016	0.988	100000.0
16	1599.166	9.104	247.691	7.952	0.016	0.989	110000.0
17	1601.605	9.115	247.63	7.964	0.015	0.989	130000.0
18	1602.516	9.132	248.189	7.95	0.016	0.989	130000.0
19	1600.982	9.126	247.745	7.978	0.016	0.988	60000.0
20	1606.608	9.14	249.081	7.981	0.016	0.989	70000.0
21	1602.635	9.141	248.209	8.004	0.016	0.989	110000.0
22	1601.415	9.107	247.591	7.967	0.016	0.989	40000.0
23	1608.393	9.202	249.086	8.018	0.016	0.989	80000.0
24	1602.523	9.114	247.916	7.978	0.016	0.989	100000.0
25	1606.335	9.135	249.381	7.996	0.016	0.989	90000.0
26	1604.086	9.123	248.296	7.976	0.016	0.989	50000.0
27	1597.553	9.122	247.025	7.967	0.016	0.988	80000.0
28	1600.874	9.144	248.141	7.981	0.016	0.989	70000.0
29	1599.11	9.121	247.878	7.974	0.015	0.989	100000.0
30	1599.229	9.128	247.349	7.962	0.016	0.989	90000.0
31	1597.988	9.105	247.858	7.988	0.015	0.989	50000.0
