Samples	SBS96A	SBS96B
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	9473	34976
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	16023	12489
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	11614	7873
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	11594	10573
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	7347	784
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	6473	726
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	5200	27271
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	2614	1988
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	5535	4039
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	6869	763
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	7472	688
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	12946	12719
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	5933	12657
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	11619	4615
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	13834	10038
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	11609	4450
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	9686	2813
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	14781	16537
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	6976	5863
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	6101	3973
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	7726	8606
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	4942	1061
LP2000346-DNA_A01_vs_SM-4JPUU__pv	15928	2138
LP2000350-DNA_A01_vs_SM-4JPUU__pv	13408	1589
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	9288	10443
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	10064	32352
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	9918	11010
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	10969	12306
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	9676	10992
LP2000366-DNA_A01_vs_SM-4JPUU__pv	15010	2784
LP2000367-DNA_A01_vs_SM-4JPUU__pv	15832	2124
LP2000368-DNA_A01_vs_SM-4JPUU__pv	14092	2094
LP2000369-DNA_A01_vs_SM-4JPUU__pv	13250	1814
LP2000370-DNA_A01_vs_SM-4JPUU__pv	16878	2234
LP2000371-DNA_A01_vs_SM-4JPUU__pv	13388	1646
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	11812	12086
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	7531	8578
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	13729	14576
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	19798	1907
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	3925	1286
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	31168	6942
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	12106	1732
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	46411	1412
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	9255	1256
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	14884	1814
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	15391	1632
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	17683	5876
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	25744	35136
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	74179	2512
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	24879	16662
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	12478	5282
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	1974	570
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	9892	733
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	11541	2672
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	9872	702
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	5629	877
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	10351	17194
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	12673	4150
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	14359	8111
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	9812	5107
LP6005334-DNA_B01_vs_SM-4JPUU__pv	10536	1365
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	16645	7507
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	14059	1801
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	7361	1246
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	14391	2802
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	671	7
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	8436	21392
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	9606	476
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	15992	2579
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	2493	3140
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	16894	4716
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	21428	5048
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	14719	24384
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	2269	626
