Samples	SBS96A	SBS96B
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	6.04E+00	6.04E+00
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	5.22E+00	5.22E+00
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	3.94E+00	3.94E+00
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	4.35E+00	4.35E+00
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	1.70E+00	1.70E+00
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	1.66E+00	1.66E+00
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	4.61E+00	4.61E+00
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	2.13E+00	2.13E+00
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	2.90E+00	2.90E+00
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	1.69E+00	1.69E+00
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	1.65E+00	1.65E+00
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	4.95E+00	4.95E+00
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	3.98E+00	3.98E+00
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	3.72E+00	3.72E+00
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	4.35E+00	4.35E+00
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	3.63E+00	3.63E+00
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	2.93E+00	2.93E+00
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	5.29E+00	5.29E+00
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	3.33E+00	3.33E+00
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	2.80E+00	2.80E+00
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	3.80E+00	3.80E+00
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	1.93E+00	1.93E+00
