Samples	SBS96A	SBS96B	SBS96C
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	32934	3425	8090
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	11372	1903	15237
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	7097	387	12003
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	9679	1608	10880
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	666	1652	5813
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	620	1438	5141
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	25833	2847	3791
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	1796	51	2755
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	3653	287	5634
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	649	1399	5584
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	573	947	6640
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	11882	5489	8294
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	11879	2247	4464
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	4264	5513	6457
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	9299	5168	9405
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	4064	3765	8230
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	2572	4600	5327
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	15515	6872	8931
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	5423	2247	5169
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	3699	2566	3809
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	8073	3539	4720
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	964	2644	2395
LP2000346-DNA_A01_vs_SM-4JPUU__pv	1854	3954	12258
LP2000350-DNA_A01_vs_SM-4JPUU__pv	1372	4550	9075
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	9793	3932	6006
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	30576	4714	7126
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	10313	4089	6526
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	11532	4503	7240
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	10320	4295	6053
LP2000366-DNA_A01_vs_SM-4JPUU__pv	2460	3917	11417
LP2000367-DNA_A01_vs_SM-4JPUU__pv	1842	4019	12095
LP2000368-DNA_A01_vs_SM-4JPUU__pv	1826	3404	10956
LP2000369-DNA_A01_vs_SM-4JPUU__pv	1574	3217	10273
LP2000370-DNA_A01_vs_SM-4JPUU__pv	1936	4283	12893
LP2000371-DNA_A01_vs_SM-4JPUU__pv	1425	4497	9112
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	11281	4330	8287
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	8085	3810	4214
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	13621	5271	9413
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	1611	6134	13960
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	1187	2100	1924
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	6189	8163	23758
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	1510	3645	8683
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	792	46078	953
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	1102	3716	5693
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	1580	5677	9441
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	1391	3972	11660
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	5275	3445	14839
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	33118	12908	14854
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	1537	74438	716
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	15556	11844	14141
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	4879	5390	7491
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	515	630	1399
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	606	3120	6899
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	2397	3456	8360
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	571	4058	5945
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	771	1752	3983
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	16114	4096	7335
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	3784	4927	8112
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	7505	5588	9377
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	4670	2943	7306
LP6005334-DNA_B01_vs_SM-4JPUU__pv	1185	3289	7427
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	6930	7152	10070
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	1546	2446	11868
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	1098	2190	5319
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	2536	8234	6423
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	1	138	539
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	19745	145	9938
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	371	241	9470
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	2277	5975	10319
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	2925	884	1824
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	4216	3766	13628
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	4502	5261	16713
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	22836	5155	11112
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	572	1011	1312
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	8338	2502	21889
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	16692	5113	12672
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	4359	2357	5939
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	10377	5137	14823
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	33183	4594	12854
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	31511	3893	9628
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	9672	3826	6641
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	170	1695	6013
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	2099	1951	6778
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	24290	19591	6261
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	9353	2033	8045
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	55357	2939	12324
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	1771	5640	7845
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	1228	1106	9064
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	1608	3810	4209
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	1518	1419	3090
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	1022	2977	7046
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	25347	5324	9698
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	17926	7512	13160
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	36915	3079	8564
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	795	3468	6118
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	2100	3282	4876
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	17527	5959	10592
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	15041	4284	4947
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	5050	2913	7744
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	313	2164	3421
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	12692	2815	5275
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	18018	3577	5670
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	312	7136	4137
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	8804	4154	7165
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	7392	2009	2623
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	12486	24901	8473
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	8258	3863	7852
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	2621	3607	8173
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	8125	9170	10034
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	5149	2604	8377
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	6803	3954	6639
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	16143	7030	11926
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	9618	3406	7173
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	3277	2273	6666
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	3899	12938	7383
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	14089	5518	5795
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	5467	3570	6448
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	9819	4684	11999
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	7317	4495	6556
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	32056	2464	6053
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	67509	2680	10704
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	8910	2650	10296
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	4482	5970	20469
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	3526	13009	10768
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	39257	3194	4639
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	2541	1448
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	15385	5684	4222
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	7317	5391	8938
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	6353	4167	7710
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	9777	5028	8298
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	469	1203	2047
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	6334	4035	6963
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	3385	7127	9805
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	3858	5241	8524
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	1033	1079	1434
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	14979	2891	9236
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	1041	3667	8357
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	8334	2683	6307
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	18726	4915	6342
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	454	6203	9171
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	17676	4873	11671
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	26281	4501	8762
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	22292	2093	7312
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	13790	4438	15880
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	2	30	12
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2836	4433	6345
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	15656	5265	8964
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	29709	4071	7016
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3721	4415	8803
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	13551	4316	8311
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	44001	4696	6341
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	2041	3860	5055
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	1132	1971	2589
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	15029	4588	15635
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	595	3309	6326
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	62033	3313	4765
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	2831	2191	2122
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	14968	3200	4683
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	1	177	95
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	3422	935	2018
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	22144	9402	15389
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	19092	3124	6721
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	396	5248	5503
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	2071	3093	8280
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	16934	2949	12867
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	35028	857	13192
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	1715	6885	8835
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	17139	153210	12995
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	14932	6677	11325
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	776	2160	2671
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	33082	7888	15958
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	20331	5604	11697
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	16011	3579	7261
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	2187	1910	3821
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	28398	7371	7999
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	10063	4874	7445
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	7072	3930	9232
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	4562	2327	2977
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	391	1449	6937
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	78890	13295	11003
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	641	58553	2393
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	46148	0	14928
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	19693	6726	6253
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	1420	4201	15360
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1461	1949	6722
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	12870	5384	13999
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	6733	5595	12192
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	1078	62030	2559
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	4288	3174	8568
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	5938	3958	3449
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	6780	5489	8337
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	3068	4686	6910
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	3078	4568	6644
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	22140	5520	11677
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	11585	2264	3458
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	1495	4440	6593
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	2560	1289	2030
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	15445	7025	11741
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	2165	6241	5681
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	8497	4992	6653
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	634	3793	6571
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	2821	5710	10199
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	10060	6708	9138
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	31523	1244	13451
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	2929	4546	5802
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	9048	5039	11457
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	9218	4939	11185
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	59095	0	19548
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	515	1464	1376
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	4961	6600	9721
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	37533	1424	7167
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	11403	4165	9511
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	24096	4839	8380
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	615	2556	5763
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	42405	6505	14285
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	92993	1747	25487
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	4341	1775	3603
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	3562	3873	8894
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	3004	3227	5986
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	10397	7207	8167
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1795	4521	6139
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	2707	5016	9820
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	26603	3468	13417
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	1435	3623	6389
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	336	1863	2372
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	1196	4320	8735
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	10674	3300	11943
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	21470	4543	8848
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	1223	2524	5909
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1465	1840	4767
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	973	674	7245
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	15606	3676	7831
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	7325	4671	6549
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	7457	6330	16952
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	4593	4804	9715
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	2491	3392	5785
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	1843	1173	3453
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	19422	3164	8961
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	7302	2107	10847
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	7030	4460	6636
LP6007591_vs_LP6007590__pv	35988	6559	15764
LP6007592_vs_LP6007590__pv	2660	4125	4568
LP6007594_vs_LP6007593__pv	1175	7956	8184
LP6007595_vs_LP6007593__pv	4447	3457	4414
LP6007597_vs_LP6007596__pv	19241	8807	9889
LP6007598_vs_LP6007596__pv	5877	2788	3622
LP6007600_vs_LP6007599__pv	220	2820	2927
LP6007602_vs_LP6007601__pv	60044	0	4919
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	32241	3931	5973
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	49858	4613	5647
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	35688	4715	9877
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	9694	4020	16028
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	43142	3795	5554
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	31609	3327	5544
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	36190	5097	10295
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	5060	2266	4901
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	56667	3331	6283
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	34956	4393	9632
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	35954	4705	9818
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	8	69	58
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	45631	3678	5991
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	36265	4954	10905
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	9620	5128	11516
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	53844	3605	6410
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	36552	4845	12038
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	9427	4577	9934
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	35599	3703	6868
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	37698	4898	10761
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	6874	2245	7862
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	36723	4050	6099
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	40656	5063	12464
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	9483	4315	12863
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	47012	3442	6337
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	35979	4615	11311
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	11168	4219	15952
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	5731	2810	17183
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	5565	5688	20173
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1624	3351	6994
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	20427	4057	6811
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	5157	3088	4284
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	1705	4063	11529
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	466	3994	6390
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	458	1668	2782
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	12669	7617	12244
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	7092	6383	8749
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	130	51
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	5267	2497	7472
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	10178	4831	6169
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	1290	3103	11414
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	8871	49238	8131
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	13140	4338	13806
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	14695	78051	2219
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	5927	3998	7504
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	4622	2260	2546
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	20177	8912	11810
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	10119	3473	6729
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	2782	4204	9473
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	11350	4849	22241
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	8409	7430	7155
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	2074	43006	5753
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	34288	41980	1224
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	74	1842	6633
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	4397	3923	5500
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	41179	1441	10562
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	13625	3597	5680
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	6951	6153	10763
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	39467	1268	9763
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	9881	5851	7999
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	8845	3715	7676
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	41490	2278	11336
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	8567	7477	11817
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	38710	799	10592
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	6373	6128	7907
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	4567	4840	14252
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	39472	1369	9427
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	7035	6041	7698
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	3475	6324	18756
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	39106	1527	8972
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	4891	1264	10633
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	375	2040	2757
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	40259	1876	10347
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	39357	1302	9358
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	15966	4015	8825
