Samples	SBS96A	SBS96B	SBS96C	SBS96D
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	32200	3048	6720	2481
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	11360	318	7382	9452
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	6903	0	6511	6073
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	9783	218	4562	7604
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	599	1408	4215	1909
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	559	1218	3701	1721
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	25770	2113	1895	2693
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	1743	0	1491	1368
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	3586	0	2942	3046
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	584	1185	4036	1827
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	492	913	5181	1574
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	11879	4178	3967	5641
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	11671	1847	3088	1984
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	4063	4911	5164	2096
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	9073	4196	6141	4462
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	3991	2873	4571	4624
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	2554	3676	2602	3667
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	15751	4942	2836	7789
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	5411	1562	2547	3319
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	3757	1844	1337	3136
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	8045	2789	2401	3097
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	966	2142	964	1931
LP2000346-DNA_A01_vs_SM-4JPUU__pv	1803	2461	5734	8068
LP2000350-DNA_A01_vs_SM-4JPUU__pv	1329	3321	4373	5974
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	9715	3116	3320	3580
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	30264	3862	4603	3687
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	10199	3276	3796	3657
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	11389	3640	4303	3943
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	10231	3457	3412	3568
LP2000366-DNA_A01_vs_SM-4JPUU__pv	2422	2490	5318	7564
LP2000367-DNA_A01_vs_SM-4JPUU__pv	1790	2540	5690	7936
LP2000368-DNA_A01_vs_SM-4JPUU__pv	1781	2087	5160	7158
LP2000369-DNA_A01_vs_SM-4JPUU__pv	1532	1959	4792	6781
LP2000370-DNA_A01_vs_SM-4JPUU__pv	1881	2698	6035	8498
LP2000371-DNA_A01_vs_SM-4JPUU__pv	1382	3266	4397	5989
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	11122	3431	4943	4402
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	8042	3106	2248	2713
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	13747	3678	3728	7152
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	1467	5159	9841	5238
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	1166	1765	1128	1152
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	6270	4438	8456	18946
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	1358	3387	7241	1852
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	788	40149	0	6886
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	1051	3078	3483	2899
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	1537	4395	4501	6265
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	1229	3720	9512	2562
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	5125	2248	8525	7661
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	32329	11365	11282	5904
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	1607	68914	0	6170
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	15930	8601	3734	13276
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	4718	4588	5125	3329
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	515	430	612	987
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	579	2105	2821	5120
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	2407	2225	3344	6237
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	517	3490	4324	2243
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	727	1445	2591	1743
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	16059	3043	3766	4677
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	3825	3513	3097	6388
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	7574	4000	3782	7114
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	4513	2345	4854	3207
LP6005334-DNA_B01_vs_SM-4JPUU__pv	1159	2253	3336	5153
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	7129	4963	2630	9430
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	1384	2189	8907	3380
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	1030	1818	3632	2127
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	2499	6917	3408	4369
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	151	510	17
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	19124	0	7542	3162
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	293	0	5862	3927
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	2200	4723	5813	5835
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	2857	718	1254	804
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	3879	3508	10851	3372
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	4569	2643	5914	13350
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	22707	3887	5956	6553
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	564	818	686	827
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	7797	1997	15969	6966
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	16593	3576	6677	7631
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	4301	1705	3282	3367
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	10109	3938	9225	7065
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	33139	2940	6331	8221
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	31868	1952	3047	8165
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	9846	2528	2118	5647
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	127	1435	4335	1981
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	2041	1330	3801	3656
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	24701	16211	254	8976
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	9083	1571	5487	3290
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	55903	617	3673	10427
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	1760	4262	3232	6002
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	1032	1557	8514	295
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	1560	3176	2625	2266
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	1583	775	667	3002
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	940	2531	4982	2592
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	25061	4117	5956	5235
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	17515	6159	8867	6057
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	36625	2037	5135	4761
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	742	2817	3860	2962
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	2064	2613	2658	2923
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	17347	4601	6093	6037
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	15352	2961	819	5140
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	5052	1886	3609	5160
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	287	1781	2189	1641
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	12439	2377	3731	2235
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	18105	2465	2271	4424
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	294	6137	2130	3024
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	8867	2977	3001	5278
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	7266	1722	1842	1194
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	11966	23580	9328	986
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	8054	3156	5155	3608
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	2525	2842	5018	4016
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	8016	7567	5703	6043
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	5015	1941	5115	4059
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	6658	3235	4208	3295
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	15853	5767	7517	5962
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	9290	2994	5425	2488
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	3336	1243	2422	5215
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	3892	11161	3200	5967
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	13991	4523	3236	3652
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	5447	2689	3188	4161
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	10361	1912	1498	12731
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	7197	3705	3963	3503
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	31881	1652	3426	3614
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	66812	1826	7351	4904
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	8618	2081	6980	4177
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	4127	5123	15323	6348
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	3569	10529	3260	9945
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	39357	1990	1617	4126
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	2184	964	841
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	15439	4613	1662	3577
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	7180	4302	5356	4808
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	6031	3674	6308	2217
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	9563	4209	5401	3930
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	467	874	837	1541
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	6179	3328	4513	3312
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	3471	5106	2604	9136
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	3839	3971	4047	5766
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	1012	890	870	774
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	14609	2348	6388	3761
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	1041	2181	2420	7423
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	8397	1700	2641	4586
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	18498	4126	4059	3300
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	411	4576	3400	7441
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	17806	3138	4863	8413
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	25770	3799	6418	3557
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	21936	1545	4973	3243
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	14038	2028	5825	12217
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	2	27	12	3
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2890	3207	2031	5486
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	15538	4055	4920	5372
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	29114	3628	5684	2370
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3640	3400	4981	4918
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	13589	3048	3761	5780
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	44063	3266	2550	5159
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	2134	2642	709	5471
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	1124	1549	1242	1777
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	15355	2033	5294	12570
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	588	2075	1632	5935
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	61706	2419	2968	3018
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	2769	1870	1451	1054
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	15019	2297	1965	3570
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	1	153	53	66
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	3446	607	836	1486
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	22260	6875	6607	11193
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	18776	2502	4612	3047
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	379	4089	1549	5130
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	1978	2443	5151	3872
