Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	31296	5586	1971	2498	3098
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	10722	5449	0	9110	3231
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	7132	1801	0	6482	4072
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	9199	3832	0	7247	1889
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	557	2424	829	2103	2218
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	529	2060	729	1897	1984
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	25025	2359	1810	2470	807
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	1742	629	0	1406	825
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	3579	1231	0	3115	1649
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	551	2210	661	2029	2181
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	575	1320	724	1973	3568
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	11387	3947	3236	5464	1631
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	11311	2605	1313	1969	1392
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	4090	2968	4286	2100	2790
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	9551	1253	4280	4635	4153
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	3505	5289	1344	4484	1437
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	2684	785	3682	3652	1696
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	15637	1707	4776	7530	1668
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	5386	1362	1335	3338	1418
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	3593	1439	1473	3006	563
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	7601	2896	2050	2956	829
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	980	637	2005	1855	526
LP2000346-DNA_A01_vs_SM-4JPUU__pv	1735	3466	1641	8194	3030
LP2000350-DNA_A01_vs_SM-4JPUU__pv	1401	1710	3044	6138	2704
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	8887	4764	1794	3434	852
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	28270	7489	2076	3581	1000
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	9331	5188	1840	3534	1035
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	10285	6306	1865	3803	1016
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	9424	4747	2138	3428	931
LP2000366-DNA_A01_vs_SM-4JPUU__pv	2377	3035	1801	7692	2889
LP2000367-DNA_A01_vs_SM-4JPUU__pv	1748	3224	1804	8092	3088
LP2000368-DNA_A01_vs_SM-4JPUU__pv	1723	3052	1375	7289	2747
LP2000369-DNA_A01_vs_SM-4JPUU__pv	1491	2728	1334	6915	2596
LP2000370-DNA_A01_vs_SM-4JPUU__pv	1826	3521	1882	8649	3234
LP2000371-DNA_A01_vs_SM-4JPUU__pv	1453	1725	2986	6154	2716
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	9992	6867	1519	4281	1239
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	7535	3072	2260	2573	669
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	12877	4976	2399	6844	1209
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	1178	8104	2928	5417	4078
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	1165	759	1604	1103	580
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	5498	10026	1723	18125	2738
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	1248	4743	2194	2093	3560
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	1540	0	41362	4921	0
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	909	3374	2062	2833	1333
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	1355	4504	3012	6048	1779
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	752	9549	896	2818	3008
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	4698	6860	487	7812	3702
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	30338	13170	7852	5716	3804
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	2501	5175	66166	2849	0
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	16060	1405	8624	12943	2509
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	4599	3655	3669	3313	2524
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	492	479	305	974	294
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	493	2618	1350	4981	1183
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	2297	2550	1564	6176	1626
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	451	3211	2649	2287	1976
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	540	3033	514	1698	721
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	15507	3540	2308	4559	1631
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	3853	1567	3242	6373	1788
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	7432	2677	3407	6996	1958
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	4644	1916	2048	3409	2902
LP6005334-DNA_B01_vs_SM-4JPUU__pv	1257	835	2200	5362	2247
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	7255	777	5009	9295	1816
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	1008	7779	64	3658	3351
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	881	3168	927	2182	1449
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	2748	600	7185	4285	2375
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	209	114	39	316
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	19740	1794	0	3488	4806
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	325	1519	0	4429	3809
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	2102	4158	3656	5868	2787
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	2891	541	651	817	733
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	3180	10362	614	3713	3741
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	4342	4477	1544	13246	2867
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	20979	8379	1732	6379	1634
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	487	948	513	772	175
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	9154	0	2556	8382	12637
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	16042	5285	2408	7610	3132
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	4173	2287	1163	3397	1635
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	9942	5559	2645	7292	4899
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	31257	8094	1131	7992	2157
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	32080	0	2617	7996	2339
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	9575	1900	2144	5470	1050
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	185	986	1369	2303	3035
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1761	3818	294	3603	1352
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	24710	0	16816	7129	1487
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	9123	2634	1081	3466	3127
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	53548	5974	0	9928	1170
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	1833	1428	4059	5992	1944
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	1111	3230	959	742	5356
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	1771	79	3480	2334	1963
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	1528	621	633	2913	332
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	663	5297	959	2591	1535
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	24635	4156	3483	5141	2954
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	17399	5246	5199	6103	4651
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	36773	1550	2342	4643	3250
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	731	2256	2304	3045	2045
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	2105	1280	2380	2950	1543
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	16566	5906	3274	5944	2388
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	14600	2396	2411	4787	78
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	5181	1124	1750	5313	2339
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	285	1262	1500	1678	1173
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	11711	4167	1356	2212	1336
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	18115	790	2620	4257	1483
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	391	991	6066	2864	1273
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	8394	3370	2130	5097	1132
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	6882	2162	1191	1145	644
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	10191	17680	16122	793	1074
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	8352	1508	3010	3718	3385
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	2429	3359	2013	4112	2488
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	7599	5712	6031	5775	2212
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	4630	4549	755	4110	2086
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	6448	3232	2466	3285	1965
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	14829	8001	3625	5846	2798
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	8027	7717	809	2504	1140
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	3084	2543	577	5064	948
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	4046	1944	10774	5576	1880
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	13700	2704	3977	3440	1581
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	5102	3310	1787	4044	1242
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	10003	1770	1575	12333	821
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	6922	3410	2837	3424	1775
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	31009	3326	1238	3456	1544
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	64839	7264	923	4823	3044
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	8161	5498	713	4354	3130
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	4624	3663	4842	7355	10437
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	3821	946	10611	9683	2242
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	39237	0	2707	3631	1515
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	0	2414	729	846
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	14711	3086	3802	3242	450
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	7401	1902	4143	4891	3309
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	6704	373	4132	2439	4582
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	9170	4605	3056	3927	2345
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	425	862	623	1480	329
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	5897	3786	2370	3304	1975
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	3457	1871	4663	8885	1441
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	3865	2128	3536	5792	2302
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	989	640	733	758	426
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	13891	5622	978	3831	2784
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	955	2352	1513	7185	1060
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	8100	2298	1216	4504	1206
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	17662	4610	2999	3174	1538
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	458	1846	4188	7403	1933
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	16969	5063	1939	8189	2060
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	25633	3550	3287	3515	3559
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	21708	2874	1160	3275	2680
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	13445	4922	925	12085	2731
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	3	0	29	2	10
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2763	2087	2635	5252	877
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	14989	4409	3085	5233	2169
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	27695	6555	2099	2317	2130
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3630	2770	2805	4998	2736
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	13099	3478	2264	5613	1724
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	43497	1745	3431	4724	1641
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	2161	363	2605	5312	515
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	1139	658	1425	1759	711
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	14602	5138	873	12315	2324
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	635	584	1999	5916	1096
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	60105	3918	2174	2640	1274
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	2457	2240	1164	983	300
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	14614	1949	1991	3396	901
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	2	42	144	58	27
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	3349	690	473	1449	414
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	21487	6158	5446	10824	3020
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	19328	600	2815	3074	3120
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	435	908	3890	4994	920
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	1515	6292	563	3734	1340
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	15214	8859	148	5228	3301
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	34748	2612	0	7796	3921
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	1869	585	4999	8472	1510
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	15700	44591	119948	0	3105
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	14364	4983	4151	6297	3139
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	755	911	1473	1878	590
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	31721	7833	4535	8068	4771
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	19761	4495	2466	9278	1632
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	14414	6619	1340	2850	1628
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	2160	1032	952	3229	545
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	27468	4401	5005	5242	1652
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	8965	6207	2292	3598	1320
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	6964	2715	2406	5191	2958
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	4422	1280	1332	2589	243
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	189	4140	453	1223	2772
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	69458	24501	6015	0	3214
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	1663	0	54251	4217	1456
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	45710	3958	0	1876	9532
