Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	28453	2959	513	7469	2581	2474
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	7185	4726	0	5246	8396	2959
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	5953	1108	0	2309	6225	3892
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	6707	3107	0	3937	6690	1726
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	284	2389	897	447	1993	2121
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	303	2021	795	383	1797	1900
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	21540	629	529	7118	2266	389
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	1399	463	0	618	1344	778
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	2732	928	0	1410	2949	1555
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	349	2157	738	370	1928	2090
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	378	1264	889	352	1879	3398
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	6426	4105	2427	6674	4722	1311
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	7333	2528	487	5622	1567	1053
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	2988	2842	4146	1792	1833	2633
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	7096	922	3975	3897	4132	3850
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	3594	4762	1341	602	4364	1396
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	872	1037	3575	2257	3145	1613
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	10312	1489	3949	7624	6568	1376
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	2666	1522	1000	3526	2877	1248
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	4136	835	1526	59	2921	597
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	4537	2966	1474	4210	2520	625
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	583	647	2005	583	1660	525
LP2000346-DNA_A01_vs_SM-4JPUU__pv	1044	3286	1953	1148	7591	3044
LP2000350-DNA_A01_vs_SM-4JPUU__pv	566	1726	3255	1177	5585	2688
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	8898	3718	1508	1420	3423	764
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	22505	6007	310	9941	3231	422
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	9071	4167	1504	1760	3507	919
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	10813	4931	1562	1153	3897	919
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	9191	3711	1809	1736	3397	824
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1695	2798	2069	1210	7130	2892
LP2000367-DNA_A01_vs_SM-4JPUU__pv	861	3101	2099	1336	7471	3088
LP2000368-DNA_A01_vs_SM-4JPUU__pv	884	2941	1619	1265	6736	2741
LP2000369-DNA_A01_vs_SM-4JPUU__pv	793	2615	1586	1081	6390	2599
LP2000370-DNA_A01_vs_SM-4JPUU__pv	911	3388	2196	1391	7988	3238
LP2000371-DNA_A01_vs_SM-4JPUU__pv	488	1781	3178	1312	5581	2694
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	10629	5472	1256	1023	4376	1142
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	7072	2339	1977	1643	2497	581
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	13729	3150	2254	1214	6761	1197
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	180	8190	2912	1450	5121	3852
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	236	925	1495	1122	908	525
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	3731	9496	2006	3025	17049	2803
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	375	4840	2144	1198	1924	3357
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	53	0	41755	1885	4130	0
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	600	3301	2087	563	2668	1292
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	976	4302	3183	770	5660	1807
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	642	9448	780	493	2868	2792
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	3168	6518	494	2448	7413	3518
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	24433	11568	6020	10551	5255	3053
