Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	27209	2450	1874	8345	1923	308	2340
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	6103	4950	1415	5558	7348	29	3109
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	5258	1396	1325	2701	5059	0	3748
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	5889	3312	1172	4214	5738	0	1842
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	242	2439	1185	421	1542	362	1940
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	268	2084	1059	362	1384	310	1732
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	20830	521	1808	7387	1634	0	291
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	1192	540	206	735	1152	0	777
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	2341	1084	505	1593	2506	0	1545
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	297	2208	1066	366	1491	290	1914
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	355	1367	1299	332	1357	352	3098
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	6296	4208	3192	6018	3740	1061	1150
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	6941	2211	1125	5325	1371	580	1037
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	3217	3528	3502	1458	1127	1311	2091
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	7493	2029	4830	3312	2669	419	3120
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	3299	4716	1692	869	3490	677	1316
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	1447	2143	3909	1527	2058	346	1069
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	10577	2441	5299	6708	4748	664	881
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	2683	1641	1793	3090	2227	313	1092
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	4219	1369	1925	154	2046	0	361
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	4484	3112	2000	3794	1993	451	498
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	870	1230	2006	302	1082	249	264
LP2000346-DNA_A01_vs_SM-4JPUU__pv	1184	3921	3450	904	5742	264	2601
LP2000350-DNA_A01_vs_SM-4JPUU__pv	1043	2879	4141	653	3962	240	2079
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	8525	3854	1857	1832	2620	397	646
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	20971	4971	1133	10377	2928	1334	702
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	8634	4188	1826	2175	2733	544	828
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	10255	4931	1845	1816	3037	553	838
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	8786	3819	1976	2134	2601	644	708
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1850	3468	3451	971	5347	261	2446
LP2000367-DNA_A01_vs_SM-4JPUU__pv	1033	3751	3544	1035	5631	328	2634
LP2000368-DNA_A01_vs_SM-4JPUU__pv	998	3472	3017	1019	5111	209	2360
LP2000369-DNA_A01_vs_SM-4JPUU__pv	950	3204	2965	827	4815	94	2209
LP2000370-DNA_A01_vs_SM-4JPUU__pv	1093	4080	3759	1076	6028	317	2759
LP2000371-DNA_A01_vs_SM-4JPUU__pv	979	2947	4147	754	3961	166	2080
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	10026	5396	1770	1735	3452	440	1079
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	6865	2591	1942	1826	1833	624	428
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	13369	3715	3299	1834	4997	188	903
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	240	8484	3597	1199	4016	695	3474
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	458	1318	1516	801	581	209	328
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	3479	9984	5413	2923	13449	243	2619
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	344	4940	2088	1047	1500	902	3017
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	2203	0	23001	0	599	22020	0
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	552	3420	1773	531	2084	1010	1141
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	848	4577	2815	766	4403	1723	1566
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	201	8896	1052	778	2616	701	2779
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	2515	5872	1680	2689	6111	1177	3515
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	23427	11287	5534	10657	4190	3069	2716
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	1341	0	20551	1055	2240	51353	151
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	12075	3205	9473	6028	8176	1238	1346
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	5505	3719	3499	140	2152	809	1936
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	246	596	456	294	676	41	235
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	205	2989	2065	428	3587	329	1022
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	2252	2471	2366	518	4451	704	1451
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	0	3900	2636	558	1463	491	1526
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	38	2860	506	560	1405	446	691
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	8969	3375	2335	7777	3147	799	1143
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	1534	2600	3900	2612	4201	670	1306
