Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	23112	3507	9567	1481	2188	1550	710	2334
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	5314	5046	5190	1420	1862	6777	319	2584
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	4246	1434	2859	1240	1462	4901	0	3345
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	4936	3128	4106	1158	1899	5388	68	1484
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	221	2314	287	1073	625	1408	485	1718
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	221	1915	258	954	607	1282	421	1541
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	18079	971	8209	1431	1236	1494	503	548
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	1027	649	725	213	226	1082	0	680
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1958	1111	1576	502	689	2389	0	1349
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	250	2043	257	959	623	1379	415	1706
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	332	1618	266	1175	219	1289	423	2838
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	5478	4122	5606	2926	1960	3435	1193	945
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	5254	1304	5377	911	3315	1348	310	771
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	2243	2192	1529	2990	2830	1207	1357	1886
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	6656	2660	3364	4317	509	2581	722	3063
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	2653	4307	890	1559	1641	3124	871	1014
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	1190	1751	1364	3495	1154	2071	452	1022
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	9202	2578	6631	4773	1710	4584	933	907
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	2549	1647	2806	1623	518	2129	537	1030
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	3361	1206	486	1713	984	1951	56	317
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	3978	2828	3540	1790	1282	1821	668	425
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	724	1122	276	1803	468	1047	309	254
LP2000346-DNA_A01_vs_SM-4JPUU__pv	871	2373	741	3021	2123	5753	817	2367
LP2000350-DNA_A01_vs_SM-4JPUU__pv	720	1705	553	3671	1770	4049	576	1953
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	5588	2362	2653	1507	4994	2424	0	203
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	12161	0	12203	192	15067	2793	0	0
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	5609	2650	2965	1507	5350	2529	0	318
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	7038	3604	2734	1567	5275	2740	0	317
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	5485	2120	3029	1612	5799	2440	0	183
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1614	2321	827	3045	1529	5331	847	2280
