Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	997	11461	18415	3569	1377	1228	864	4579	1959
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	1473	5495	4080	5046	1348	5905	709	2235	2221
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	856	3155	3390	1767	1226	4479	0	1583	3031
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	1244	4450	3823	3149	1110	4745	369	2011	1266
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	1254	303	212	1938	871	1230	473	324	1526
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	1179	284	210	1556	775	1140	396	284	1375
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	1225	9817	14318	806	1301	1356	411	2857	380
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	222	791	819	664	211	973	0	318	604
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	493	1714	1536	1166	480	2140	105	731	1209
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	1230	284	239	1680	773	1221	392	293	1520
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	737	274	303	1498	980	1172	446	163	2587
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	1987	6000	4078	3783	2620	2960	1285	2185	767
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	816	5745	3806	1772	919	1048	615	3200	669
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	3143	1843	1733	1500	2475	1109	1201	1544	1686
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	2186	3981	5315	1997	3706	2465	547	877	2798
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	2067	1096	2230	3636	1313	2691	938	1269	819
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	2263	1548	892	1077	2984	1982	290	513	950
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	2226	7433	7082	2244	4244	4177	933	2186	793
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	1225	3035	1888	1433	1403	1900	501	567	887
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	1057	798	2807	903	1486	1796	78	864	285
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	1976	3898	3022	2222	1540	1598	572	1199	305
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	1120	373	603	708	1541	998	223	201	236
LP2000346-DNA_A01_vs_SM-4JPUU__pv	3989	1036	763	1503	2440	5257	651	359	2068
LP2000350-DNA_A01_vs_SM-4JPUU__pv	3611	815	629	681	3056	3859	314	255	1777
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	863	2973	4391	2926	1522	1983	383	4516	174
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	0	12642	8651	3288	1190	1977	477	14191	0
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	868	3273	4365	3258	1516	2032	524	4810	282
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	1013	3163	5601	3990	1526	2187	626	4907	262
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	585	3300	4236	2983	1664	1952	550	5216	182
LP2000366-DNA_A01_vs_SM-4JPUU__pv	3665	1170	1378	1440	2470	4892	648	137	1994
LP2000367-DNA_A01_vs_SM-4JPUU__pv	3770	1101	712	1584	2544	5142	719	266	2118
LP2000368-DNA_A01_vs_SM-4JPUU__pv	3402	1074	688	1503	2153	4645	569	270	1882
LP2000369-DNA_A01_vs_SM-4JPUU__pv	3306	916	638	1243	2113	4423	414	235	1776
LP2000370-DNA_A01_vs_SM-4JPUU__pv	4088	1153	735	1707	2687	5499	728	311	2204
LP2000371-DNA_A01_vs_SM-4JPUU__pv	3733	902	574	642	3043	3876	238	250	1776
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	999	3050	5296	4398	1480	2490	532	5257	396
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	443	2737	3299	1987	1611	1424	500	4019	89
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	2133	3692	8772	2817	2554	4166	556	3020	595
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	2736	456	803	8069	2829	2674	1055	580	2503
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	975	700	397	925	1161	501	195	77	280
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	4215	2445	3176	8890	4554	10926	1302	965	1637
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	2944	836	161	3219	1430	1151	952	807	2338
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	511	0	1029	1252	20340	1594	20118	2979	0
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	1671	371	541	2706	1375	1574	1131	345	797
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	4267	834	484	1522	2025	4032	1862	559	1113
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	2705	139	693	7786	786	1355	1066	695	1798
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	1992	2327	2136	5641	1448	4738	1822	869	2586
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	4706	12482	15336	9574	4318	2706	3452	6543	1763
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	960	739	467	1536	18747	2178	48434	3329	301
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	2284	6976	7833	3622	7787	7200	1424	3190	1225
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	2989	1008	3559	1927	2537	1926	822	1424	1568
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	595	299	175	219	345	626	51	52	182
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	1723	262	277	2226	1713	3018	424	266	716
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	1552	771	1410	1710	1925	3868	939	948	1090
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	1528	277	170	3646	2024	966	580	236	1147
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	1299	357	145	2117	376	1005	558	242	407
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	1791	7948	6285	3381	1930	2445	1152	1752	861
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	1269	2311	1071	2682	3235	3567	832	814	1042
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	1838	2171	5332	2582	3422	4093	713	1095	1224
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	1137	2293	2095	2696	2107	1771	423	456	1941
LP6005334-DNA_B01_vs_SM-4JPUU__pv	2726	767	461	95	2462	3419	149	310	1512
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	1975	3776	2557	2199	5117	5294	362	1995	877
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	2428	632	390	6385	593	1959	882	418	2173
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	950	241	566	2796	888	1165	518	583	900
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	1657	1354	1072	2812	5087	1898	1247	782	1284
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	149	3	0	203	91	9	7	0	216
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	1001	13194	3547	3722	888	1638	592	2132	3114
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	533	212	210	2401	988	2865	56	19	2798
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	2168	1185	924	4661	3145	3187	1377	174	1750
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	412	1672	824	777	607	363	37	522	419
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	2060	1289	1658	9161	898	1730	1277	1231	2306
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2998	2204	2103	3818	3563	8241	942	646	1961
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	1688	10432	6156	3465	682	4185	2963	8998	534
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	575	232	215	662	379	444	156	172	60
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	2166	4004	4213	0	4015	5403	869	2686	9373
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	2203	6977	7768	4369	2857	4376	859	3178	1890
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	1415	1183	2899	1386	1376	2077	198	1052	1069
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	4241	2821	6404	1223	2623	4871	918	3929	3307
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	3967	12126	16578	1904	1483	5279	648	7627	1019
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	575	21484	5390	3477	3041	4028	1573	4482	982
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	1440	3301	6224	1325	2295	3307	509	1082	656
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	1620	2	195	180	1235	1536	553	319	2238
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1666	725	1136	2908	773	2141	453	154	872
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	3843	10459	12794	0	13718	2385	0	6943	0
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	2623	4757	3481	1121	1148	2181	458	1596	2066
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	0	23695	22633	1053	1094	6505	704	14922	14
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	2445	1071	618	2161	3815	3335	226	508	1077
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	0	921	0	5141	1176	0	457	78	3625
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	1193	709	937	987	2722	1108	270	485	1216
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	688	564	969	570	1035	1778	0	239	184
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	1649	236	401	4416	910	1312	685	574	862
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	3291	13887	7835	4483	3138	2373	244	3784	1334
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	4476	9804	6062	5953	4425	2884	604	1735	2655
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	2216	22138	9530	2764	2241	2067	558	5547	1497
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	2201	542	127	2062	2035	1670	215	273	1256
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	1157	871	1061	1332	1926	1662	619	658	972
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	1847	10428	3373	7227	2997	2729	1180	3328	969
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	797	4474	9834	1103	2087	2886	731	2360	0
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	1326	1711	3355	698	2186	3301	409	1057	1664
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	1565	196	138	1074	1268	917	30	0	710
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	1401	4324	6213	2123	950	1265	418	3451	637
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	2132	10171	6719	1737	2362	2109	550	737	748
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	850	209	0	2657	3808	1157	1682	636	586
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	1478	3343	4471	2590	2010	2958	874	1821	578
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	977	3286	2498	1050	654	640	413	2304	202
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	2866	3922	4426	5781	0	2003	20608	5065	1189
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	2309	1997	6064	0	2251	2365	559	2126	2302
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	2054	1106	1223	2712	1864	2403	823	580	1636
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	4217	4300	2073	5487	4641	2788	500	2548	775
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	1966	2355	1785	3110	938	2509	934	1198	1335
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	2295	3233	2727	2679	1923	1761	673	968	1137
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	2175	4393	9100	4876	2696	3400	1590	5328	1541
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	2687	3786	3673	5545	472	1294	934	1348	458
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	1558	1316	1696	1636	1210	3206	448	529	617
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	2284	1761	1906	2173	5578	3051	5234	1152	1081
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	3357	4816	8381	489	2802	1972	209	2633	743
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	1622	1743	2776	1835	1579	2484	650	2133	663
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	1135	3778	5647	1157	3274	7794	889	2280	548
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	3042	3171	2845	1199	1835	2113	850	2386	927
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	1067	15353	12120	2036	1085	1828	608	5908	568
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	0	38561	11920	4301	23	2432	2334	21065	257
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	2154	2825	4601	3055	1029	2742	689	2725	2036
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	5305	1100	3967	3222	5082	4317	110	422	7396
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	1146	2891	173	4401	7197	5017	4287	990	1201
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	3032	22581	13349	60	2313	1617	201	3468	469
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	701	11	2	541	2038	177	0	0	519
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	1767	1776	14171	756	2664	1949	422	1530	256
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	3280	4826	1733	2428	3508	2557	511	828	1975
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	493	4635	1031	3820	3451	663	574	597	2966
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	1115	5729	1769	4498	1705	2039	2644	2255	1349
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	836	124	342	569	670	902	5	101	170
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	2443	2900	2545	2963	1824	1791	721	1016	1129
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	2740	1510	1727	1836	4389	5336	943	1094	742
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	1566	1447	1999	2248	3177	3338	869	1561	1418
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	623	316	583	377	591	424	0	409	223
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	2069	3740	8989	1273	951	2692	492	5159	1741
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	1832	454	486	1561	2108	4561	816	554	693
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	1759	4197	3326	1845	1555	2661	366	932	683
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	695	6190	9185	1789	1740	1950	1280	6487	667
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	2562	168	502	2481	4097	4278	552	46	1142
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	3383	5828	10434	876	2023	5468	1297	3580	1331
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	2014	12317	10188	1779	2155	1886	1231	5962	2012
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	1308	11188	8651	2686	1084	1695	1031	2376	1678
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	2389	5965	6540	2958	2565	7706	1506	2600	1879
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	10	0	2	4	20	0	0	3	5
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	3006	1008	1740	781	2455	3275	258	702	389
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	3603	6796	7328	2856	2680	2944	427	2126	1125
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	1115	7500	17241	30	1240	1785	0	10928	957
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3412	1279	2172	1163	2625	3098	215	1257	1718
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	3388	4514	8308	637	2149	3602	353	2208	1019
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	1848	16968	25499	19	2670	2599	621	3830	984
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1514	850	1239	548	2672	3199	174	563	197
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	973	409	719	579	1226	1005	111	255	415
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	2756	6125	7486	2903	2806	7829	764	3093	1490
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	2570	417	287	0	2494	3708	0	109	645
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	0	26454	26356	405	1150	1394	238	14114	0
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	1243	798	1493	1468	845	469	0	816	12
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	1620	6465	7490	1690	1847	1805	130	1415	389
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	89	0	5	42	98	23	0	8	8
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	642	1487	1585	282	563	893	0	705	218
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	5863	8213	11705	1296	4582	6859	1257	5594	1566
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	589	13472	2129	2872	1927	1230	1725	3282	1711
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	1395	264	242	1461	2991	2881	1319	72	522
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	2028	749	582	4539	623	2175	1091	907	750
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	1254	7081	6551	8249	1106	2699	826	3059	1925
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	452	21053	9603	6299	1732	4089	495	3014	2340
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	2369	923	869	1790	4889	4880	374	576	765
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	19365	12408	0	0	7740	6355	128899	1961	6616
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	5328	6222	7653	2718	3522	3635	309	1780	1767
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	1368	378	376	667	1243	1078	72	135	290
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	2082	12210	14818	2397	3427	5132	1796	12436	2630
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	4211	7083	12259	896	3002	6007	266	2997	911
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	2503	4391	9209	2745	767	1851	719	3805	861
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	1075	934	1055	398	1070	2062	363	639	322
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	946	12808	9988	2810	3432	2783	1186	9561	254
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	3471	3387	4878	3677	1827	1978	131	2595	438
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	3797	3205	3485	1215	2562	3094	0	1015	1861
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	1051	1720	2431	755	1226	1541	159	961	22
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	1385	92	172	3603	472	567	502	120	1864
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	0	24241	28742	3639	0	0	3733	42833	0
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	6530	1255	0	0	22449	1383	28699	770	501
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	0	18669	23097	3206	34	1278	838	7270	6684
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	2358	11622	3533	482	3596	1053	930	7803	1295
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	1783	527	837	3629	2719	7940	1319	599	1628
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1147	406	1042	2361	1013	2307	643	74	1139
