Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	18149	9394	1006	1926	874	5171	753	296	891	1654	0	1395	2459	481
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	4020	4753	865	3460	951	2115	430	990	4247	497	936	1646	2249	1353
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	3282	2729	626	922	789	1595	555	220	3444	202	1319	835	2717	252
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	3767	3842	715	2169	740	1886	426	593	3463	458	876	1279	1244	709
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	125	273	410	1253	577	224	511	473	714	377	1093	504	1019	578
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	142	250	468	985	506	205	467	385	706	338	984	438	932	393
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	14308	7972	688	616	797	3389	746	148	953	1193	435	577	515	134
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	827	666	239	347	121	343	115	0	762	164	49	264	652	53
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1534	1473	391	760	284	740	239	149	1631	302	339	400	1200	132
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	150	260	476	1056	463	204	459	333	727	520	1124	372	1018	470
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	303	185	195	710	595	156	742	293	789	687	747	408	2119	231
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	4168	5135	941	2498	1630	1874	725	893	1834	2119	1341	1145	500	862
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	3760	5112	424	977	535	2671	497	322	648	1066	1135	772	429	242
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1695	1551	454	1323	1489	1058	2064	947	339	1725	2446	668	292	183
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	5341	3181	865	1394	2441	1099	1252	412	1621	1577	1612	458	2188	431
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	2031	952	848	3062	727	1128	746	718	1643	1621	548	554	709	772
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	918	1305	661	1129	1983	360	1095	374	1187	938	1633	267	250	399
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	7192	6201	694	1926	2679	2166	1423	625	2668	2599	1061	436	597	1051
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	1984	2521	239	940	868	492	711	414	1132	908	980	435	455	760
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	2588	651	481	553	927	888	526	17	1188	779	561	329	179	407
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	3118	3267	1084	1237	915	1073	680	260	974	1396	879	888	98	463
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	549	320	489	627	1020	183	448	193	593	567	498	60	86	370
LP2000346-DNA_A01_vs_SM-4JPUU__pv	680	836	570	599	1311	207	3330	357	2981	2000	737	361	1139	2958
LP2000350-DNA_A01_vs_SM-4JPUU__pv	767	557	872	776	1783	112	2559	196	2457	1925	1396	389	790	418
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	3791	2935	666	1720	1025	3848	594	212	1362	869	605	1227	354	523
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	7300	12564	89	2379	1034	11926	244	538	1530	598	1542	1684	242	746
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	3725	3249	739	1948	1040	4067	498	353	1391	826	743	1266	464	619
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	4874	3087	851	2275	1054	4268	547	409	1478	917	549	1594	546	826
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	3557	3344	605	1716	1128	4376	514	323	1352	945	670	1198	414	526
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1301	891	515	612	1372	106	3003	401	2785	1851	764	334	1123	2736
LP2000367-DNA_A01_vs_SM-4JPUU__pv	624	891	500	474	1397	128	3173	404	2886	1962	855	418	1166	3078
LP2000368-DNA_A01_vs_SM-4JPUU__pv	636	865	456	723	1172	142	2752	362	2653	1704	837	358	1023	2503
LP2000369-DNA_A01_vs_SM-4JPUU__pv	588	732	490	557	1143	126	2688	209	2541	1664	731	284	977	2334
LP2000370-DNA_A01_vs_SM-4JPUU__pv	663	927	504	661	1475	163	3503	418	3089	2101	708	414	1242	3244
LP2000371-DNA_A01_vs_SM-4JPUU__pv	725	632	934	722	1782	106	2641	135	2470	1864	1353	409	793	468
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	4533	3042	756	2638	1041	4507	614	406	1705	814	605	1789	651	797
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	2787	2749	491	1041	1122	3387	470	307	992	703	443	845	302	470
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	8207	3083	836	2088	1655	3033	1095	580	2785	1233	1232	1110	423	945
LP2101136-DNA_A01_vs_LP2101133-DNA_A01__pv	772	176	1138	4351	1911	350	1100	793	1531	1808	1403	3307	1894	1171
LP2101137-DNA_A01_vs_LP2101134-DNA_A01__pv	429	555	518	260	735	31	351	32	251	667	598	463	59	262
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	3120	1854	1172	6854	3008	943	2004	1773	7364	2219	1074	2932	1376	2417
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	29	780	1050	2337	857	476	945	803	444	1068	2525	652	1179	693
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	906	0	1685	665	15110	2736	1555	17037	1193	5241	678	1017	0	0
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	466	287	612	1534	689	178	687	617	742	1929	959	604	367	840
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	637	569	1557	894	1014	341	2866	1232	2568	2526	497	872	481	644
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	589	0	1425	4940	530	513	591	805	652	1292	646	2577	1563	900
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	2164	1785	400	2838	726	612	1060	1454	3020	2133	2145	2552	1596	1074
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	15337	10346	2783	4116	2418	6024	2639	1472	1420	6067	1263	4658	1613	724
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	514	729	767	1667	14838	2456	2650	42661	1243	6474	1421	1271	0	0
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	7674	5951	854	3172	5266	3094	1495	1403	4940	2851	1544	880	1191	1226
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	3191	833	1086	1170	1558	1240	1389	580	1020	1437	2365	702	540	649
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	179	256	378	257	213	64	180	40	448	161	156	0	147	65
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	348	116	1256	594	852	201	905	0	2187	2202	0	1159	805	0
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	1374	606	331	990	871	729	1363	372	2511	2752	712	526	687	389
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	128	178	687	1756	1317	96	621	274	403	1313	829	1291	804	877
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	68	347	748	1710	237	203	166	481	571	440	310	218	372	635
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	6633	6562	1096	1363	1138	1717	700	607	1609	2052	1138	1808	628	494
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	1263	1875	362	1099	1924	578	1172	325	2349	2659	682	1311	771	453
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	5223	1593	582	1499	2209	1239	1327	590	2787	1778	842	1334	965	502
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	2121	1867	576	1415	1413	507	514	303	1151	943	943	844	1640	682
LP6005334-DNA_B01_vs_SM-4JPUU__pv	609	540	433	370	1418	159	2251	98	2218	1555	1073	285	667	225
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	2551	3307	875	1414	3337	1668	1255	274	3684	2176	1457	981	605	568
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	192	600	714	5247	384	304	340	944	844	915	1217	613	1684	1862
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	384	284	459	2229	539	480	26	414	616	845	654	204	773	700
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	1057	1144	954	1337	3355	611	876	659	1115	2596	1147	807	1013	522
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	1	93	121	51	0	72	0	4	91	0	35	210	0
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	4466	11282	562	2999	623	1897	452	444	1136	1049	663	443	3016	796
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	240	121	175	1819	637	162	560	169	2117	523	0	376	2808	375
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	1053	827	975	2569	1878	112	1138	744	1969	2885	639	1480	1488	814
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	865	1439	240	151	395	414	117	0	217	300	622	480	232	161
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	1471	995	864	5243	650	924	301	1073	795	1214	1438	3313	1809	1520
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2191	1729	859	3188	2152	644	1906	1024	5683	2288	826	1131	1641	1214
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	5531	9848	645	2735	201	7233	1400	2212	2657	2396	1918	846	277	1204
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	205	194	349	409	227	130	141	92	285	316	243	245	0	59
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	3732	3580	0	0	2347	2078	2184	825	3584	1224	7446	0	5729	0
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	7610	5910	850	2806	1633	2926	996	463	2795	2683	2176	1359	1321	949
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	2712	977	427	1302	772	982	598	160	1330	1088	1351	256	578	122
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	5832	2499	542	1586	1314	3309	3220	736	2973	2484	3484	400	1478	480
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	16053	10377	822	2354	659	7070	3240	498	3445	2249	1733	1131	401	599
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	6907	18428	3	1401	1918	3481	908	1013	2766	2782	1878	2291	577	679
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	6098	2609	572	1205	1433	1320	609	477	2276	1279	1121	451	412	277
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	0	70	374	0	767	148	686	566	848	194	2450	0	1053	722
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1083	510	303	2065	508	88	536	631	1257	382	1375	1085	248	757
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	12345	9156	1824	2538	10521	6848	3666	0	1982	0	0	46	491	725
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	3682	3949	639	642	607	1404	2171	235	1352	1239	885	745	1361	520
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	21853	21221	403	55	601	13422	1405	417	4997	1484	1462	1909	747	644
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	556	949	815	2108	2582	392	1047	445	2123	1007	1468	306	580	878
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	114	631	321	1535	929	117	140	208	0	670	44	2563	3704	422
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	892	582	356	424	1820	389	848	173	650	929	1095	445	735	289
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	960	438	285	406	624	250	385	0	1249	609	284	271	122	144
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	268	176	342	2738	553	299	446	586	523	993	1398	1466	246	1011
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	8559	11655	971	2410	2257	3311	2355	247	1469	1220	1203	2917	839	956
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	6698	8039	1720	4832	3141	1738	2267	677	1779	1652	1126	1879	2153	897
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	10753	18914	540	2100	1588	4770	1807	444	1353	1419	1527	1569	1082	692
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	108	466	830	1754	1345	165	861	277	983	759	1209	366	735	523
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	974	743	463	489	1202	518	637	390	1034	1131	1138	589	535	415
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	3803	9026	1096	4247	2146	2626	279	970	1696	1614	1627	2834	817	1297
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	9495	3599	515	507	1349	2658	600	516	2054	1169	482	910	69	349
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	3052	1466	257	612	1363	993	499	545	2190	742	2621	204	705	458
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	115	159	755	838	853	0	588	49	544	365	555	149	480	448
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	5728	3853	420	1710	656	3087	680	451	691	412	1440	664	267	723
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	7414	8234	412	1024	1499	860	1142	435	1227	1526	1746	1172	0	574
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	0	176	520	1020	2411	355	567	861	521	2775	558	696	496	629
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	4320	2807	275	1962	1177	1661	939	628	1799	1823	891	696	311	834
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	2378	2977	475	763	420	1920	530	286	380	523	697	434	55	186
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	3490	3928	5353	336	0	4332	0	16109	1321	4578	1020	1779	1594	2020
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	5760	1640	62	0	1386	2050	2115	721	1533	923	2927	0	856	0
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	1191	849	627	1299	1123	388	1049	626	1460	1330	1791	1307	797	564
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	1993	3785	1492	4107	3493	1917	1384	1189	1649	58	2784	2364	0	1114
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	1770	2004	685	2306	467	963	809	741	1555	1381	1209	830	847	563
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	2779	2669	986	1619	1217	871	1034	444	1016	1297	1087	938	711	728
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	8261	3936	719	2698	1434	4595	1112	873	1932	3156	3129	1862	609	783
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	3652	3101	1851	2464	255	1211	384	474	685	1194	1046	2540	272	1068
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	1667	1079	718	1415	677	537	606	410	2213	1043	577	363	493	418
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	1925	1434	612	1580	3691	851	1649	4291	1779	3275	1698	661	346	428
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	8130	3916	600	1069	1865	2628	2663	287	1066	1021	823	389	177	768
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	2493	1620	701	1393	888	1830	939	374	1595	1510	743	393	493	513
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	5484	3190	299	790	1694	2141	1112	469	5478	3289	1209	555	376	416
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	2803	2755	702	1173	1016	1924	2387	501	1159	1850	742	460	340	556
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	12332	13172	558	196	803	5328	829	469	1336	498	2181	2417	126	328
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	11879	35364	69	4341	357	16817	864	2122	1590	397	3409	570	488	2626
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	4303	2452	569	2301	523	2416	1576	491	1712	1390	1001	933	1543	646
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	3997	560	1335	2487	3373	749	4453	230	2821	1686	1401	822	6016	991
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	405	2394	31	1439	4366	357	1092	2782	2928	5838	2714	1829	226	902
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	14712	18810	904	855	1563	3555	2145	86	1012	1472	701	354	259	662
