Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	17783	9250	1125	1640	5599	795	743	124	862	993	306	1080	2415	1323	411
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	3867	4692	1005	3297	2271	841	371	717	4199	139	1000	898	2145	1740	1330
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	3167	2702	723	912	1698	755	398	119	3352	111	1488	434	2480	882	266
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	3636	3817	748	2080	2015	737	394	546	3383	399	785	423	1206	1301	697
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	111	291	387	1206	231	585	463	533	665	582	941	87	968	494	587
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	131	264	454	953	211	513	417	432	657	516	859	84	878	427	403
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	14064	7828	777	565	3696	763	691	31	889	792	480	757	470	560	108
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	806	669	242	280	369	149	135	0	739	209	77	0	653	230	44
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1482	1466	404	678	790	295	220	152	1587	287	395	163	1154	379	122
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	142	272	465	1019	209	478	412	384	670	703	965	113	958	360	482
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	300	165	277	627	161	546	613	192	754	481	978	466	1951	421	228
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	4075	5125	835	2294	1995	1752	792	1122	1678	2332	813	399	612	1008	833
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	3622	5097	406	925	2827	565	480	372	565	1183	834	311	440	702	261
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1672	1527	472	1338	1094	1511	1897	966	201	1862	2009	567	227	656	235
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	5276	3115	902	1280	1194	2439	1130	436	1491	1461	1581	670	2037	446	414
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	1959	961	814	2799	1191	784	799	787	1559	1598	352	423	791	507	735
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	913	1281	673	1147	375	1977	1014	389	1075	1072	1301	380	206	274	422
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	7059	6072	782	1791	2328	2686	1334	546	2532	1955	1003	1218	532	495	985
LP2000333-DNA_A01_vs_LP2000324-DNA_A01__pv	1960	2489	231	907	534	895	673	463	1059	909	799	315	431	427	747
LP2000334-DNA_A01_vs_LP2000324-DNA_A01__pv	2532	654	460	518	939	978	519	99	1113	798	425	171	186	298	384
LP2000335-DNA_A01_vs_LP2000317-DNA_A01__pv	3072	3221	1114	1161	1149	931	682	248	892	1321	600	508	140	837	456
LP2000336-DNA_A01_vs_LP2000316-DNA_A01__pv	539	315	472	602	189	1044	440	251	547	569	376	155	88	63	353
LP2000346-DNA_A01_vs_SM-4JPUU__pv	636	819	596	462	190	1371	3164	444	2857	1497	1073	787	1033	343	2794
LP2000350-DNA_A01_vs_SM-4JPUU__pv	780	507	968	721	94	1801	2363	141	2295	1618	1433	818	683	380	395
LP2000352-DNA_A01_vs_LP2000359-DNA_A01__pv	3558	2977	651	1602	4032	1039	610	244	1302	868	418	338	417	1172	503
LP2000353-DNA_A01_vs_LP2000359-DNA_A01__pv	6606	12663	13	2329	12505	1027	279	586	1483	765	1025	399	319	1646	771
LP2000355-DNA_A01_vs_LP2000359-DNA_A01__pv	3478	3324	644	1798	4270	1106	554	527	1312	1070	435	93	565	1160	592
LP2000356-DNA_A01_vs_LP2000359-DNA_A01__pv	4604	3122	871	2135	4480	1031	556	361	1441	768	413	525	600	1573	795
LP2000357-DNA_A01_vs_LP2000359-DNA_A01__pv	3296	3408	551	1575	4584	1169	558	417	1276	1067	406	252	504	1099	506
LP2000366-DNA_A01_vs_SM-4JPUU__pv	1267	858	572	499	98	1398	2837	414	2672	1322	1075	848	1005	339	2590
LP2000367-DNA_A01_vs_SM-4JPUU__pv	590	857	578	381	111	1411	2976	389	2776	1342	1206	953	1020	444	2922
LP2000368-DNA_A01_vs_SM-4JPUU__pv	602	851	466	610	128	1231	2617	457	2538	1349	1049	635	933	346	2374
LP2000369-DNA_A01_vs_SM-4JPUU__pv	561	705	548	460	112	1166	2536	213	2435	1214	995	749	872	285	2213
LP2000370-DNA_A01_vs_SM-4JPUU__pv	622	892	581	523	146	1491	3311	406	2973	1433	1121	1011	1111	421	3070
LP2000371-DNA_A01_vs_SM-4JPUU__pv	736	587	1015	660	86	1811	2451	112	2306	1597	1397	756	695	386	439
LP2000372-DNA_A01_vs_LP2000359-DNA_A01__pv	4251	3087	778	2478	4725	1010	624	345	1667	698	457	520	715	1768	775
LP2000373-DNA_A01_vs_LP2000359-DNA_A01__pv	2582	2783	473	958	3545	1127	481	331	942	682	315	305	344	792	449
LP2101132-DNA_A01_vs_LP2101131-DNA_A01__pv	7994	3068	880	1984	3234	1645	1091	500	2650	1261	904	652	469	1037	936
