NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1499.81	8.718	229.515	7.53	0.015	0.99	70000.0
2	1494.224	8.667	227.092	7.468	0.015	0.99	110000.0
3	1501.248	8.702	229.506	7.517	0.015	0.99	60000.0
4	1491.679	8.641	227.164	7.459	0.014	0.99	80000.0
5	1489.803	8.66	227.087	7.461	0.015	0.99	90000.0
6	1496.634	8.693	227.46	7.479	0.015	0.99	90000.0
7	1496.566	8.687	228.202	7.505	0.015	0.99	120000.0
8	1488.446	8.644	226.419	7.437	0.014	0.99	90000.0
9	1486.894	8.681	226.131	7.473	0.015	0.99	90000.0
10	1499.062	8.737	228.084	7.508	0.015	0.989	100000.0
11	1497.781	8.687	228.101	7.458	0.015	0.99	60000.0
12	1494.663	8.731	226.891	7.499	0.015	0.99	40000.0
13	1498.132	8.721	228.973	7.519	0.015	0.99	60000.0
14	1500.64	8.703	228.432	7.489	0.015	0.99	80000.0
15	1503.562	8.764	229.425	7.573	0.015	0.989	100000.0
16	1493.392	8.626	227.21	7.434	0.014	0.99	70000.0
17	1490.313	8.678	226.302	7.479	0.015	0.99	90000.0
18	1496.682	8.708	227.544	7.493	0.015	0.99	60000.0
19	1492.072	8.68	227.114	7.476	0.015	0.99	60000.0
20	1501.167	8.657	229.509	7.489	0.015	0.99	80000.0
21	1499.149	8.681	227.97	7.487	0.015	0.99	70000.0
22	1492.7	8.656	227.518	7.471	0.015	0.99	110000.0
23	1490.459	8.645	227.024	7.449	0.015	0.99	100000.0
24	1498.634	8.716	228.691	7.517	0.015	0.99	80000.0
25	1494.163	8.694	227.139	7.504	0.015	0.989	90000.0
26	1500.362	8.692	228.28	7.487	0.015	0.99	80000.0
27	1495.728	8.66	227.885	7.459	0.015	0.99	110000.0
28	1495.456	8.726	228.282	7.525	0.015	0.99	90000.0
29	1496.586	8.702	227.672	7.479	0.015	0.99	60000.0
30	1495.799	8.674	227.906	7.48	0.015	0.99	60000.0
31	1494.302	8.671	228.292	7.48	0.015	0.99	70000.0
32	1497.257	8.696	228.916	7.503	0.015	0.99	100000.0
33	1497.008	8.643	228.314	7.473	0.015	0.99	70000.0
34	1510.253	8.794	230.695	7.604	0.015	0.989	80000.0
35	1498.52	8.689	228.298	7.482	0.015	0.99	130000.0
36	1492.413	8.66	227.178	7.462	0.014	0.99	120000.0
37	1496.217	8.726	228.027	7.521	0.015	0.989	80000.0
38	1494.342	8.723	227.377	7.498	0.015	0.989	80000.0
39	1498.343	8.674	228.121	7.469	0.015	0.99	100000.0
40	1494.621	8.662	227.726	7.458	0.015	0.99	60000.0
41	1494.093	8.683	227.234	7.473	0.015	0.99	100000.0
42	1501.087	8.7	229.569	7.532	0.015	0.989	70000.0
43	1496.251	8.716	228.991	7.53	0.015	0.989	70000.0
44	1495.059	8.697	227.474	7.497	0.015	0.99	120000.0
45	1494.707	8.626	228.196	7.434	0.014	0.99	90000.0
46	1493.653	8.688	228.145	7.497	0.015	0.99	80000.0
47	1498.652	8.698	228.763	7.522	0.015	0.99	70000.0
48	1497.539	8.68	229.234	7.502	0.015	0.99	110000.0
49	1498.305	8.666	228.565	7.479	0.015	0.99	80000.0
50	1492.408	8.644	227.253	7.463	0.015	0.99	80000.0
51	1495.723	8.704	227.527	7.495	0.015	0.99	90000.0
52	1495.393	8.673	228.085	7.509	0.015	0.99	110000.0
53	1497.776	8.647	229.072	7.472	0.015	0.99	100000.0
54	1492.37	8.69	226.904	7.482	0.015	0.99	80000.0
55	1496.82	8.702	228.102	7.511	0.015	0.99	150000.0
56	1495.707	8.672	227.788	7.477	0.015	0.99	140000.0
57	1492.345	8.663	227.872	7.491	0.015	0.99	100000.0
58	1490.294	8.67	227.07	7.458	0.015	0.99	70000.0
59	1490.82	8.697	227.314	7.478	0.015	0.99	150000.0
60	1491.789	8.678	227.828	7.489	0.015	0.99	80000.0
61	1503.25	8.778	228.865	7.548	0.016	0.989	80000.0
62	1493.144	8.666	227.037	7.465	0.015	0.99	120000.0
63	1495.09	8.682	227.147	7.462	0.015	0.99	70000.0
64	1493.732	8.696	227.25	7.503	0.015	0.989	100000.0
65	1497.04	8.742	228.549	7.548	0.015	0.989	120000.0
66	1499.06	8.782	228.077	7.561	0.016	0.989	80000.0
67	1494.644	8.668	227.409	7.448	0.015	0.99	70000.0
68	1492.316	8.7	227.559	7.489	0.015	0.99	110000.0
69	1500.348	8.726	229.793	7.557	0.015	0.99	80000.0
70	1502.664	8.685	228.914	7.483	0.015	0.99	60000.0
71	1490.246	8.623	226.878	7.452	0.014	0.99	60000.0
72	1495.135	8.645	227.806	7.436	0.015	0.99	100000.0
73	1490.507	8.658	227.16	7.463	0.015	0.99	90000.0
74	1491.372	8.671	226.992	7.469	0.015	0.99	60000.0
75	1494.31	8.697	228.086	7.507	0.015	0.99	100000.0
76	1493.829	8.689	227.684	7.484	0.015	0.99	100000.0
77	1500.272	8.714	228.914	7.519	0.015	0.99	150000.0
78	1492.683	8.644	227.723	7.463	0.015	0.99	80000.0
79	1496.8	8.713	228.874	7.542	0.015	0.989	100000.0
80	1494.029	8.655	227.782	7.452	0.015	0.99	80000.0
81	1497.174	8.662	228.109	7.479	0.015	0.99	130000.0
82	1494.688	8.702	227.828	7.504	0.015	0.99	110000.0
83	1497.36	8.688	228.012	7.494	0.015	0.99	130000.0
84	1491.403	8.672	227.078	7.464	0.015	0.99	170000.0
85	1494.517	8.651	227.648	7.438	0.015	0.99	70000.0
86	1496.385	8.674	228.138	7.477	0.015	0.99	70000.0
87	1493.134	8.683	228.432	7.521	0.015	0.989	70000.0
88	1500.324	8.692	228.317	7.482	0.015	0.99	70000.0
89	1504.7	8.739	229.466	7.543	0.015	0.989	90000.0
90	1491.871	8.652	227.188	7.449	0.015	0.99	40000.0
91	1496.099	8.705	228.703	7.522	0.015	0.99	70000.0
92	1498.24	8.7	228.671	7.511	0.015	0.99	70000.0
93	1493.238	8.704	228.337	7.508	0.015	0.99	70000.0
94	1491.109	8.653	227.177	7.456	0.015	0.99	110000.0
95	1497.015	8.7	228.557	7.507	0.015	0.99	50000.0
96	1492.08	8.706	227.032	7.504	0.015	0.989	70000.0
97	1495.78	8.698	228.643	7.519	0.015	0.99	70000.0
98	1497.22	8.672	228.666	7.481	0.015	0.99	90000.0
99	1497.152	8.683	228.778	7.489	0.015	0.99	70000.0
100	1494.647	8.718	227.513	7.517	0.015	0.99	80000.0
101	1498.002	8.697	229.47	7.539	0.015	0.989	110000.0
102	1488.213	8.651	226.331	7.446	0.015	0.99	110000.0
103	1502.29	8.73	229.822	7.569	0.015	0.989	60000.0
104	1496.476	8.668	227.676	7.481	0.015	0.99	90000.0
105	1495.371	8.671	227.701	7.474	0.015	0.99	80000.0
106	1499.99	8.72	228.335	7.503	0.015	0.99	100000.0
107	1500.299	8.721	228.455	7.525	0.015	0.99	100000.0
108	1491.258	8.687	227.551	7.481	0.015	0.99	90000.0
109	1496.426	8.677	228.038	7.471	0.015	0.99	90000.0
110	1491.878	8.665	227.151	7.484	0.015	0.99	90000.0
111	1495.649	8.671	229.35	7.488	0.015	0.99	80000.0
112	1495.804	8.781	227.663	7.549	0.016	0.989	90000.0
113	1501.366	8.719	229.643	7.558	0.015	0.99	120000.0
114	1496.447	8.724	227.652	7.546	0.015	0.989	80000.0
115	1495.49	8.721	227.535	7.508	0.015	0.99	50000.0
116	1493.321	8.651	227.971	7.496	0.015	0.99	120000.0
117	1499.894	8.674	228.144	7.476	0.015	0.99	90000.0
118	1497.506	8.711	228.107	7.498	0.015	0.99	90000.0
119	1489.831	8.649	227.046	7.459	0.015	0.99	90000.0
120	1497.095	8.683	228.019	7.492	0.015	0.99	50000.0
121	1490.946	8.663	227.55	7.469	0.015	0.99	60000.0
122	1498.403	8.668	228.823	7.503	0.015	0.99	100000.0
123	1494.542	8.661	228.116	7.468	0.015	0.99	100000.0
124	1491.779	8.663	227.712	7.502	0.015	0.989	80000.0
125	1499.587	8.715	228.592	7.519	0.015	0.989	80000.0
126	1497.27	8.714	228.158	7.481	0.015	0.989	70000.0
127	1500.211	8.715	228.31	7.502	0.015	0.99	90000.0
128	1493.293	8.678	227.522	7.476	0.015	0.99	120000.0
129	1499.569	8.711	228.04	7.485	0.015	0.99	80000.0
130	1496.562	8.684	227.715	7.485	0.015	0.99	60000.0
131	1498.574	8.678	228.174	7.47	0.015	0.99	100000.0
132	1499.174	8.672	227.903	7.472	0.015	0.99	90000.0
133	1495.67	8.691	227.875	7.497	0.015	0.99	80000.0
134	1498.764	8.725	227.663	7.518	0.015	0.989	50000.0
135	1496.433	8.659	228.393	7.481	0.015	0.99	90000.0
136	1503.898	8.719	229.171	7.529	0.015	0.989	110000.0
137	1495.327	8.689	227.593	7.492	0.015	0.99	90000.0
138	1494.566	8.735	227.985	7.528	0.015	0.989	120000.0
139	1499.299	8.721	228.157	7.511	0.015	0.989	90000.0
140	1498.746	8.722	228.697	7.52	0.015	0.99	90000.0
141	1492.179	8.689	227.542	7.503	0.015	0.99	80000.0
142	1488.722	8.626	226.397	7.419	0.015	0.99	50000.0
143	1492.39	8.682	227.167	7.48	0.015	0.99	70000.0
144	1502.146	8.7	228.758	7.488	0.015	0.99	50000.0
145	1496.625	8.666	226.93	7.463	0.015	0.99	60000.0
146	1492.769	8.698	227.507	7.505	0.015	0.99	100000.0
147	1493.488	8.654	227.06	7.434	0.015	0.99	120000.0
148	1495.164	8.648	227.636	7.451	0.014	0.99	100000.0
149	1493.476	8.686	227.223	7.487	0.015	0.99	60000.0
150	1494.006	8.688	227.209	7.477	0.015	0.99	60000.0
151	1495.811	8.671	227.972	7.502	0.015	0.99	60000.0
152	1498.116	8.678	227.978	7.458	0.015	0.99	90000.0
153	1509.276	8.702	230.805	7.545	0.015	0.99	110000.0
154	1498.509	8.664	228.59	7.456	0.014	0.99	140000.0
155	1491.03	8.639	226.88	7.423	0.015	0.99	170000.0
156	1497.76	8.69	228.173	7.472	0.015	0.99	60000.0
157	1493.963	8.691	227.849	7.492	0.015	0.99	90000.0
158	1498.004	8.715	227.813	7.5	0.015	0.99	80000.0
159	1499.233	8.733	227.921	7.505	0.015	0.99	70000.0
160	1489.663	8.608	227.683	7.397	0.014	0.99	100000.0
161	1493.484	8.657	226.904	7.454	0.015	0.99	70000.0
162	1495.023	8.725	227.569	7.493	0.015	0.99	70000.0
163	1503.34	8.737	229.067	7.513	0.015	0.989	160000.0
164	1496.373	8.706	228.381	7.504	0.015	0.989	60000.0
165	1488.92	8.682	226.512	7.477	0.015	0.99	70000.0
166	1495.686	8.657	228.842	7.489	0.015	0.99	130000.0
167	1494.721	8.646	228.227	7.458	0.014	0.99	170000.0
168	1503.211	8.75	228.894	7.538	0.015	0.989	100000.0
169	1497.743	8.723	228.007	7.496	0.015	0.99	50000.0
170	1497.438	8.692	228.11	7.477	0.015	0.99	50000.0
171	1496.749	8.672	228.043	7.498	0.014	0.99	70000.0
172	1499.241	8.697	228.931	7.509	0.015	0.99	80000.0
173	1500.006	8.662	228.697	7.47	0.014	0.99	80000.0
174	1493.512	8.676	227.564	7.497	0.015	0.99	70000.0
175	1493.558	8.688	227.937	7.525	0.015	0.989	80000.0
176	1503.775	8.708	228.888	7.511	0.015	0.99	100000.0
177	1497.383	8.702	228.724	7.485	0.015	0.99	90000.0
178	1497.404	8.683	228.187	7.476	0.015	0.99	120000.0
179	1491.732	8.702	227.632	7.488	0.015	0.99	60000.0
180	1494.653	8.673	227.869	7.506	0.015	0.99	90000.0
181	1499.263	8.673	228.178	7.482	0.015	0.99	50000.0
182	1490.969	8.662	226.986	7.464	0.015	0.99	60000.0
