Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	16979	9701	1087	831	5594	1691	543	173	838	995	944	1003	2002	1189	522	357
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	3732	4744	912	860	2221	1565	579	713	4213	3142	0	794	2181	1370	601	885
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	3078	2767	680	780	1665	117	496	203	3403	1468	28	403	2191	799	1257	152
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	3506	3870	709	748	1981	1088	483	556	3407	2071	105	394	1227	1103	486	433
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	106	262	389	585	217	1109	421	535	660	843	436	110	823	432	754	449
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	126	242	452	516	199	857	382	438	656	709	401	105	744	380	692	300
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	13381	8213	757	771	3706	825	532	24	867	426	803	723	328	562	404	149
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	777	685	230	152	365	74	139	9	745	319	208	0	584	189	116	10
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1434	1494	379	308	777	176	266	184	1606	820	235	138	1055	312	355	35
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	133	251	462	483	195	827	388	393	672	866	575	134	820	312	765	356
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	284	167	287	567	158	918	485	235	741	171	507	467	1546	396	1018	213
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	3867	5180	827	1736	1969	1701	716	1094	1655	1892	2098	421	634	835	489	551
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	3518	5125	420	562	2778	794	417	374	555	800	1139	316	394	637	582	179
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1633	1547	483	1499	1033	603	1840	906	222	1850	1752	566	298	595	1344	63
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	5012	3266	866	2447	1185	723	1095	480	1512	1533	1380	656	1757	398	1304	258
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	1860	939	831	800	1175	2767	625	747	1503	1317	1255	437	704	343	288	468
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	865	1292	660	1972	351	601	1009	365	1091	1399	917	390	254	238	836	259
