Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	10362	15772	759	5175	758	1294	679	685	585	0	762	779	852	757	1127	484	1818	1278	168	355
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	4625	3376	768	2138	781	1680	562	3885	0	682	400	480	2048	659	1065	472	1998	1404	725	764
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	2840	2819	499	1616	685	343	425	3135	64	133	309	347	1027	432	612	1199	1985	229	144	644
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	3869	3211	577	1909	643	1135	439	3031	196	474	367	223	1354	586	861	382	1118	687	375	730
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	215	94	469	143	483	982	283	549	458	565	8	8	377	458	410	752	737	437	465	238
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	225	114	476	149	427	783	271	568	427	413	102	53	348	358	361	694	666	248	316	200
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	8913	12414	514	3513	675	674	554	765	613	0	493	632	401	547	578	372	265	179	110	259
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	694	703	156	339	128	67	139	661	155	0	113	0	262	100	151	110	538	137	0	149
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	1519	1325	334	787	255	254	227	1365	227	114	233	163	630	95	236	344	955	64	5	442
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	216	117	515	135	392	756	265	532	543	395	48	78	494	375	289	761	738	357	358	268
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	166	246	256	82	487	730	417	648	446	234	77	411	47	329	390	1048	1395	314	180	257
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	5236	3544	594	1915	1414	1526	686	1385	1988	658	961	442	1483	805	710	405	604	463	415	431
