Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP2000104-DNA_A01_vs_LP2000101-DNA_A01__pv	7.79E+01	1.13E+02	9.89E+00	6.47E+01	5.57E+00	8.81E+00	7.19E+00	6.35E+00	1.49E+01	7.02E+00	2.18E+01	8.37E+00	1.21E+01	2.63E+01	7.48E+00	6.74E+00	6.52E+00	1.36E+02	4.91E+00	1.37E+01
LP2000105-DNA_A01_vs_LP2000102-DNA_A01__pv	2.90E+01	2.54E+01	9.43E+00	2.14E+01	7.70E+00	1.24E+01	7.21E+00	2.57E+01	1.61E+01	8.70E+00	9.43E+00	7.36E+00	1.70E+01	1.37E+01	7.65E+00	7.79E+00	6.49E+00	3.59E+01	8.21E+00	3.22E+01
LP2000106-DNA_A01_vs_LP2000102-DNA_A01__pv	1.58E+01	1.97E+01	7.11E+00	1.61E+01	6.50E+00	6.53E+00	5.55E+00	2.17E+01	1.07E+01	6.59E+00	8.59E+00	6.28E+00	9.50E+00	9.51E+00	4.65E+00	8.87E+00	8.43E+00	2.56E+01	4.64E+00	2.55E+01
LP2000107-DNA_A01_vs_LP2000102-DNA_A01__pv	2.16E+01	2.20E+01	7.50E+00	1.92E+01	5.85E+00	8.52E+00	5.79E+00	2.02E+01	1.25E+01	6.26E+00	8.07E+00	5.44E+00	1.22E+01	1.06E+01	5.41E+00	4.61E+00	4.56E+00	2.96E+01	5.74E+00	2.39E+01
LP2000108-DNA_A01_vs_LP2000103-DNA_A01__pv	3.21E+00	3.16E+00	5.51E+00	3.12E+00	3.44E+00	5.20E+00	4.59E+00	4.02E+00	7.97E+00	4.93E+00	5.12E+00	3.42E+00	6.82E+00	7.70E+00	3.49E+00	3.81E+00	3.57E+00	6.63E+00	3.84E+00	5.07E+00
LP2000109-DNA_A01_vs_LP2000103-DNA_A01__pv	2.76E+00	2.90E+00	4.64E+00	2.71E+00	2.84E+00	4.75E+00	4.12E+00	3.81E+00	6.06E+00	4.19E+00	4.48E+00	3.37E+00	5.93E+00	5.73E+00	3.20E+00	3.56E+00	3.34E+00	5.14E+00	3.27E+00	4.58E+00
LP2000110-DNA_A01_vs_LP2000101-DNA_A01__pv	6.43E+01	8.81E+01	7.21E+00	4.72E+01	4.58E+00	5.49E+00	5.64E+00	5.28E+00	9.65E+00	4.50E+00	1.70E+01	6.62E+00	7.04E+00	2.04E+01	5.21E+00	3.60E+00	2.32E+00	1.07E+02	3.78E+00	1.08E+01
LP2000111-DNA_A01_vs_LP2000102-DNA_A01__pv	5.06E+00	5.73E+00	2.95E+00	4.34E+00	1.73E+00	2.28E+00	1.93E+00	4.59E+00	3.67E+00	1.75E+00	3.00E+00	8.50E-01	3.19E+00	3.32E+00	2.09E+00	2.70E+00	2.49E+00	6.91E+00	1.60E+00	5.19E+00
LP2000112-DNA_A01_vs_LP2000102-DNA_A01__pv	9.08E+00	1.11E+01	4.69E+00	9.10E+00	3.47E+00	4.04E+00	3.44E+00	1.05E+01	8.27E+00	3.69E+00	4.82E+00	3.69E+00	7.21E+00	5.67E+00	3.17E+00	4.53E+00	4.18E+00	1.49E+01	2.65E+00	1.11E+01
LP2000113-DNA_A01_vs_LP2000103-DNA_A01__pv	3.24E+00	3.35E+00	4.99E+00	2.97E+00	3.27E+00	4.88E+00	4.44E+00	3.92E+00	6.69E+00	4.55E+00	4.38E+00	3.84E+00	6.07E+00	6.75E+00	3.03E+00	4.13E+00	3.63E+00	6.01E+00	3.39E+00	4.49E+00
LP2000114-DNA_A01_vs_LP2000103-DNA_A01__pv	3.41E+00	3.47E+00	4.66E+00	2.84E+00	3.78E+00	4.30E+00	4.23E+00	5.17E+00	7.60E+00	5.08E+00	4.23E+00	5.18E+00	4.59E+00	6.43E+00	3.27E+00	6.82E+00	6.25E+00	5.98E+00	3.02E+00	5.67E+00
LP2000325-DNA_A01_vs_LP2000317-DNA_A01__pv	2.68E+01	2.92E+01	7.61E+00	2.13E+01	7.49E+00	9.12E+00	7.28E+00	7.85E+00	1.61E+01	8.51E+00	8.38E+00	7.30E+00	1.35E+01	1.20E+01	5.61E+00	4.36E+00	3.41E+00	3.82E+01	5.73E+00	1.25E+01
LP2000327-DNA_A01_vs_LP2000319-DNA_A01__pv	2.73E+01	2.97E+01	6.01E+00	2.94E+01	4.72E+00	5.76E+00	4.56E+00	4.00E+00	1.30E+01	5.47E+00	8.44E+00	5.64E+00	1.18E+01	1.07E+01	4.87E+00	3.31E+00	2.28E+00	4.20E+01	3.26E+00	8.25E+00
LP2000328-DNA_A01_vs_LP2000320-DNA_A01__pv	1.08E+01	1.37E+01	6.89E+00	9.43E+00	8.67E+00	6.48E+00	1.34E+01	4.70E+00	1.48E+01	1.80E+01	8.43E+00	8.98E+00	1.15E+01	1.75E+01	5.33E+00	8.36E+00	3.00E+00	1.76E+01	4.47E+00	1.00E+01
LP2000329-DNA_A01_vs_LP2000321-DNA_A01__pv	2.59E+01	3.32E+01	8.62E+00	1.60E+01	9.08E+00	7.22E+00	9.43E+00	8.10E+00	1.87E+01	9.81E+00	1.09E+01	1.08E+01	1.60E+01	1.57E+01	5.09E+00	7.65E+00	6.98E+00	3.82E+01	4.36E+00	9.11E+00
LP2000330-DNA_A01_vs_LP2000316-DNA_A01__pv	7.85E+00	1.26E+01	7.93E+00	9.92E+00	5.58E+00	9.86E+00	7.34E+00	7.77E+00	1.32E+01	7.52E+00	8.19E+00	6.80E+00	1.29E+01	1.13E+01	4.88E+00	4.18E+00	4.27E+00	1.22E+01	5.31E+00	9.39E+00
LP2000331-DNA_A01_vs_LP2000322-DNA_A01__pv	7.59E+00	7.94E+00	7.09E+00	6.27E+00	7.62E+00	6.91E+00	8.57E+00	6.22E+00	1.71E+01	1.00E+01	9.09E+00	8.24E+00	1.54E+01	1.31E+01	4.27E+00	5.16E+00	2.39E+00	1.74E+01	4.01E+00	6.47E+00
LP2000332-DNA_A01_vs_LP2000323-DNA_A01__pv	3.74E+01	4.66E+01	8.44E+00	2.69E+01	9.83E+00	8.51E+00	9.76E+00	1.02E+01	1.99E+01	9.08E+00	1.24E+01	1.19E+01	1.58E+01	1.79E+01	5.63E+00	5.71E+00	3.17E+00	5.51E+01	5.86E+00	1.56E+01
