Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
ATAD3B,1471765,1497848,1
DDX11L17,182696,184174,1
,2581560,2584533,1
PRDM16,3069168,3438621,1
,5301928,5307394,1
PEX10,2403964,2413797,1
,2350414,2352820,1
,257864,359681,1
,5492978,5494674,1
,10054445,10054781,1
LINC01345,3944547,3949024,1
EEF1DP6,4175528,4175899,1
PEX14,10472288,10630758,1
LINC01646,4571481,4594016,1
LINC01777,4412027,4424689,1
LINC02782,5086459,5090899,1
PLCH2,2425980,2505532,1
,4963954,4973298,1
SPSB1,9292894,9369532,1
,3306636,3310096,1
,4479131,4484375,1
,2492300,2493258,1
,6159430,6197757,1
HES3,6244179,6245578,1
SLC2A5,9035106,9088478,1
LINC02781,4973381,4981568,1
MTCYBP45,11425257,11425821,1
PLEKHM2,15684320,15734769,1
,10612222,10616452,1
,266855,268655,1
,4012921,4019508,1
RPL22P3,16369150,16369530,1
NMNAT1,9943428,9985501,1
MFFP1,15191828,15192845,1
,9983141,9984568,1
PGAM1P11,10058671,10059648,1
CCDC27,3746460,3771645,1
CHD5,6101787,6180321,1
DISP3,11479155,11537551,1
MMEL1,2590639,2633016,1
,2566410,2569888,1
TMEM51,15152532,15220478,1
WASH9P,185217,195411,1
TTLL10,1173880,1197936,1
,2493437,2494479,1
FBXO42,16246840,16352480,1
,4730211,4734992,1
ALDH4A1,18871430,18902724,1
,4551735,4552145,1
,5554747,5554881,1
CLCN6,11806096,11848079,1
CELA2A,15456728,15472091,1
CELA2B,15465909,15491395,1
RER1,2391775,2405442,1
PANK4,2508537,2526597,1
ERRFI1-DT,8026738,8122702,1
,18385829,18388514,1
VPS13D,12230030,12512047,1
RPL10P17,12220794,12221109,1
RBP7,9997206,10016021,1
,22364630,22366482,1
GPR157,9100305,9129102,1
ZBTB40,22428838,22531157,1
,16228674,16231335,1
,16159266,16161883,1
,11500803,11502016,1
NPHP4,5862811,5992473,1
,5478736,5493057,1
,2960658,2968707,1
,18109389,18115861,1
,2768091,2784733,1
HES5,2528745,2530263,1
,25043707,25113120,1
MT1XP1,16241213,16241398,1
,15682873,15683128,1
ARHGEF19-AS1,16197854,16198357,1
DYNLL1P3,18513118,18513383,1
SZRD1,16352575,16398145,1
PDIK1L,26111165,26125555,1
NECAP2,16440721,16460078,1
IGSF21-AS1,18166929,18179346,1
,25581478,25590356,1
,5480787,5482028,1
,28109739,28110298,1
PPIAP34,22322840,22323331,1
,26046665,26049099,1
LAPTM5,30732469,30757774,1
SLC30A2,26037252,26046118,1
PHACTR4,28369582,28500364,1
IFITM3P7,25125053,25125454,1
,9501092,9503471,1
,29708851,29709547,1
,30226523,30226615,1
CNKSR1,26177484,26189884,1
FAM110D,26159079,26163962,1
ICMT,6221193,6235972,1
MED18,28329002,28335965,1
EEF1A1P46,31487589,31488930,1
,28247144,28247568,1
,29488193,29496893,1
,26647447,26647681,1
,29755175,29790597,1
MMEL1-AS1,2632568,2636620,1
LINC01648,30013952,30037612,1
SLC9A1,27098809,27166981,1
LDLRAP1,25543606,25568886,1
RNF207-AS1,6204840,6205780,1
ATP5IF1,28236109,28246906,1
,31333067,31346799,1
SDC3,30869466,30908758,1
PAFAH2,25959767,25998117,1
,28120449,28121321,1
DNAJC8,28199456,28233029,1
,31263245,31263681,1
,30810378,30815553,1
SESN2,28259518,28282491,1
SERINC2,31409565,31434680,1
AJAP1,4654609,4792534,1
PTAFR,28147166,28193936,1
